@relation migracion

@attribute region_residencia {1,2,3,4,5,6}
@attribute zona {1,2,9}
@attribute edad numeric
@attribute region_nacimiento {1,2,3,4,5,6,9}
@attribute residencia_hace_dos_anos{1,2,3,4,5,6,7,9}
@attribute titulo {0,1,2,3,4,5,6,9}
@attribute condicion_actual {1,2,3}

@data
1,1,22,1,1,0,1
1,1,59,2,1,0,3
1,1,39,1,1,4,1
4,2,30,4,4,3,2
5,1,27,1,5,4,1
1,1,34,1,1,2,1
4,2,53,4,4,1,1
1,1,23,1,1,4,1
1,1,34,1,1,4,1
6,1,31,6,6,3,1
1,2,26,1,1,0,3
6,1,23,1,6,0,3
3,1,23,1,3,0,1
1,1,43,9,1,0,1
1,1,57,1,1,3,1
1,2,57,3,1,3,3
1,1,62,1,1,0,3
4,1,30,4,4,4,1
5,2,17,5,5,0,3
6,2,27,6,6,0,1
1,2,23,1,1,2,1
4,1,36,4,4,2,1
1,1,74,1,1,0,3
4,1,51,1,4,0,1
2,2,72,2,2,3,3
6,2,33,2,6,0,3
1,1,30,1,1,6,1
5,2,41,2,5,4,1
1,1,31,3,1,0,1
1,1,24,1,1,3,2
6,1,30,1,5,3,1
1,1,40,3,1,3,1
1,1,33,3,1,6,1
1,1,27,5,1,4,2
1,1,31,1,1,0,1
3,2,48,2,3,1,1
1,1,26,2,1,0,1
1,1,78,1,1,6,3
6,1,58,6,6,4,1
1,1,59,1,1,3,3
1,1,51,1,1,4,1
5,2,58,4,5,1,3
1,1,75,1,1,1,3
3,2,30,1,7,0,1
4,2,37,4,4,4,1
4,1,20,4,4,0,3
1,1,30,1,1,4,1
1,1,62,2,1,3,1
4,1,40,1,4,4,1
1,1,32,1,1,4,1
1,1,33,4,1,4,1
1,1,47,1,1,4,1
2,1,30,5,2,3,1
1,2,26,1,1,4,1
1,1,38,5,1,0,1
4,1,52,4,4,0,1
1,1,52,6,1,6,1
1,1,63,6,1,4,1
6,2,28,1,6,0,1
4,1,29,1,4,3,1
5,2,32,3,5,4,1
1,2,31,1,1,1,1
1,1,31,6,1,4,1
1,1,82,1,1,3,3
6,1,45,6,6,3,1
4,2,59,4,4,4,1
6,1,78,2,6,2,3
1,1,46,1,1,4,1
5,1,41,2,5,3,1
1,2,61,1,1,4,3
1,1,36,1,1,0,1
1,1,20,1,1,0,3
1,1,38,1,1,4,1
1,1,35,1,1,3,1
2,2,40,1,2,1,1
2,1,43,2,2,2,1
4,2,16,4,4,0,3
1,1,61,1,1,4,3
2,1,28,2,2,4,1
2,2,17,3,2,0,3
4,2,23,4,4,0,3
3,1,44,1,3,4,1
3,2,22,4,3,0,1
1,1,37,1,1,3,1
1,1,32,9,9,4,1
2,2,38,1,2,4,1
1,2,57,6,1,2,3
1,1,53,1,1,6,1
1,1,34,1,1,4,1
1,2,52,1,1,2,1
6,1,50,2,6,4,1
1,1,38,1,1,6,1
5,1,31,1,5,4,1
1,1,31,1,1,3,1
2,1,42,2,2,4,1
1,1,53,1,1,3,1
1,1,34,1,1,4,1
1,1,30,1,1,6,1
1,1,53,1,1,4,1
1,2,30,2,2,4,2
1,1,36,1,1,4,1
4,1,18,1,4,0,3
4,1,34,4,4,0,1
1,1,28,1,1,0,1
6,2,26,6,6,0,1
1,1,26,1,1,0,1
1,1,41,3,1,3,1
1,1,20,1,1,0,3
3,2,29,1,3,3,1
1,1,37,5,1,6,1
1,2,41,1,1,1,3
5,1,26,4,5,0,1
1,1,24,5,1,0,1
2,1,48,1,2,0,1
1,1,54,1,1,4,1
2,1,32,2,2,4,1
1,1,37,1,1,4,1
4,2,32,4,4,4,1
1,1,23,1,1,3,3
1,1,70,3,1,1,3
1,1,64,1,1,1,3
1,1,20,1,1,0,1
4,1,55,1,4,6,1
1,1,32,1,1,4,2
6,1,53,3,6,1,1
1,2,66,6,1,4,3
1,2,47,4,1,0,1
1,1,26,2,1,4,1
1,1,27,2,2,0,1
1,1,62,1,1,4,1
1,2,44,1,1,1,1
4,2,38,4,4,1,1
3,2,32,2,3,4,1
6,1,21,1,6,0,3
1,2,47,2,1,4,1
2,2,51,1,2,4,3
1,1,28,1,1,0,1
5,2,16,4,5,0,3
1,1,24,1,1,0,1
1,1,18,1,1,0,3
1,2,20,1,1,0,3
3,1,62,3,3,0,1
1,2,49,1,1,4,1
1,1,42,1,1,4,1
4,1,65,1,4,2,1
1,1,29,3,1,4,1
1,1,59,3,1,4,1
1,1,37,1,1,4,2
4,2,52,1,4,0,3
3,1,23,1,3,0,1
1,1,45,1,1,0,1
3,2,30,9,3,6,1
1,1,51,3,1,6,1
3,1,54,1,3,1,1
1,1,62,1,1,3,1
1,1,54,1,1,1,1
3,1,24,3,3,0,1
1,1,25,1,1,0,1
1,1,26,1,1,0,1
3,2,33,3,3,3,3
3,1,37,1,1,4,1
1,1,26,4,1,4,3
2,2,41,2,2,4,1
1,2,48,1,1,4,1
1,1,50,2,1,3,1
3,1,39,1,3,4,1
6,1,33,2,6,3,1
1,2,43,1,1,0,3
4,1,58,1,4,4,3
3,1,33,4,3,4,1
1,1,20,1,1,0,3
5,1,35,1,5,3,3
3,1,33,1,3,0,1
1,1,51,1,1,3,1
1,1,48,1,1,4,1
3,2,16,1,3,0,3
1,1,35,1,1,0,1
1,1,51,1,1,4,1
1,1,20,1,1,0,3
1,1,34,1,1,3,1
3,2,33,3,3,3,2
1,1,59,3,1,1,1
3,1,42,4,3,4,1
4,1,56,1,4,4,1
6,1,25,1,6,0,3
1,2,33,1,1,0,1
5,2,33,1,5,3,3
3,1,50,2,3,0,1
1,1,34,3,1,4,1
4,2,47,2,4,4,1
1,1,26,4,1,0,1
1,1,49,1,1,0,1
1,1,30,3,1,9,1
1,1,75,1,1,4,3
1,1,36,1,1,3,1
3,2,25,1,3,0,1
6,2,52,4,6,6,1
6,2,35,6,6,0,3
3,1,41,1,3,0,1
1,1,42,1,1,3,1
1,1,51,1,1,3,1
1,1,53,1,1,6,1
1,1,49,2,1,4,1
3,1,35,1,4,4,1
1,1,20,1,1,1,3
1,1,39,6,6,3,1
1,1,40,1,1,4,1
1,1,51,1,1,3,1
3,2,33,1,3,4,1
1,1,24,1,1,0,1
1,1,39,1,1,4,1
1,1,59,1,1,6,1
1,1,45,4,1,6,1
1,1,60,1,1,4,1
3,2,29,3,3,4,1
1,1,50,1,1,1,1
6,1,22,1,6,0,3
1,1,54,1,1,4,3
1,1,50,1,1,3,2
1,1,33,9,1,6,1
1,1,40,1,1,4,3
1,1,57,1,1,4,1
1,2,26,2,1,4,1
6,2,34,1,6,3,1
1,1,53,1,1,4,1
3,1,71,1,3,0,3
1,1,21,1,1,0,3
1,1,24,1,1,0,1
1,1,40,3,1,4,1
1,1,52,1,1,6,1
6,1,38,1,6,4,1
1,1,49,1,1,4,3
1,1,72,1,1,4,3
2,1,30,5,2,6,1
1,2,28,1,1,4,1
5,1,46,5,5,5,1
4,1,20,1,4,0,1
1,1,38,1,1,4,1
4,1,64,4,4,4,1
1,2,31,4,1,3,1
1,1,41,1,1,4,1
1,1,27,1,1,0,3
5,2,36,1,5,3,1
3,2,34,1,1,0,1
1,1,48,1,1,6,1
1,1,44,1,1,4,1
2,2,63,2,2,3,3
1,1,36,1,1,3,1
1,2,62,1,5,4,3
1,1,52,1,1,4,1
3,2,35,1,3,1,1
1,1,26,1,1,3,1
3,1,37,1,3,4,1
1,1,40,1,1,0,1
5,2,58,1,5,0,1
2,1,30,2,2,0,2
3,2,68,1,3,3,3
1,1,37,1,1,4,2
3,2,39,1,3,4,1
3,1,22,4,3,0,1
1,1,28,1,1,4,1
1,1,41,1,1,3,2
1,1,34,1,1,4,1
1,1,33,1,1,4,1
6,1,53,1,6,6,1
1,1,53,2,1,3,3
6,1,72,1,6,3,3
1,2,36,2,1,1,1
3,2,30,6,3,0,1
1,1,33,1,1,3,1
1,1,40,1,1,0,3
1,2,40,5,1,4,1
1,1,64,1,1,4,1
1,1,32,1,1,4,1
1,2,33,1,1,0,1
3,1,74,1,3,6,3
1,2,23,1,1,0,3
1,1,20,1,1,0,1
1,1,54,1,1,0,1
1,1,27,1,1,0,1
1,1,34,1,1,5,1
1,1,19,1,1,0,3
1,1,30,1,1,3,1
1,1,59,1,1,4,1
4,2,25,1,4,3,1
1,2,20,1,1,0,3
3,2,22,1,3,1,1
5,2,44,2,5,0,1
1,1,71,1,1,4,3
1,1,47,6,6,0,1
1,1,61,3,1,6,3
3,2,42,3,3,4,1
1,2,29,1,1,0,1
4,2,28,4,4,0,1
6,1,19,1,6,0,1
1,1,75,1,1,3,3
1,1,37,1,1,6,1
3,1,49,3,3,4,1
1,1,22,1,1,2,2
5,1,49,1,5,2,1
1,2,53,1,1,4,1
1,2,49,4,1,6,1
2,1,49,3,2,4,1
5,2,33,1,5,4,1
3,2,27,6,3,4,1
1,1,19,1,1,0,3
1,1,26,1,1,4,1
1,1,39,1,1,3,1
1,1,53,1,1,3,1
4,1,47,4,4,0,1
1,2,18,1,1,0,3
1,2,45,1,1,0,2
1,1,62,2,1,0,3
1,2,42,1,1,4,3
1,1,30,2,1,0,1
4,1,40,4,4,4,1
1,1,50,1,1,2,3
1,1,78,1,1,6,3
5,1,33,1,5,4,1
5,2,29,1,5,3,1
5,1,30,4,5,3,1
2,2,17,2,2,0,3
1,1,69,1,1,6,3
6,1,36,2,6,4,3
2,2,33,1,2,4,1
3,2,26,1,3,4,1
3,1,60,1,3,4,1
1,1,42,1,1,4,1
1,1,28,4,1,4,1
1,1,72,2,1,4,3
1,1,53,3,1,4,1
1,1,34,3,1,6,1
1,1,25,9,1,1,1
1,1,45,1,1,3,1
1,2,26,1,1,0,1
3,1,44,1,3,4,1
2,2,47,1,2,0,1
4,2,46,1,4,4,1
1,1,22,1,1,0,3
1,1,50,1,1,3,1
4,2,60,1,4,4,1
4,2,58,1,4,4,1
1,1,38,1,1,4,1
4,2,29,1,4,4,1
3,1,25,4,1,3,3
4,2,33,1,4,6,1
1,1,71,1,1,6,3
1,1,22,2,1,0,3
2,2,31,6,1,4,1
1,2,48,4,1,3,1
3,2,19,1,3,0,3
1,1,29,1,1,3,1
1,1,73,1,1,4,1
1,1,35,5,1,3,1
1,1,44,1,7,4,2
1,1,36,1,1,6,1
6,2,33,3,6,3,1
1,1,26,1,1,3,3
5,1,31,1,5,4,1
6,2,57,4,6,6,1
1,1,34,1,1,4,1
1,1,34,1,1,1,1
1,1,45,3,1,1,1
2,1,24,2,2,3,3
1,1,24,1,1,3,3
1,2,32,1,1,3,1
1,2,26,2,1,0,2
1,1,44,1,1,4,1
2,2,18,1,2,0,3
3,2,30,1,3,4,1
1,1,25,1,1,3,1
6,1,20,1,6,0,3
2,1,29,2,2,0,3
1,2,60,3,1,3,1
1,1,29,4,1,4,1
1,1,24,1,1,0,1
2,1,26,2,2,0,1
2,1,60,2,2,3,3
1,1,30,1,1,4,1
1,1,22,6,1,0,3
4,2,35,4,4,3,1
4,2,23,1,4,3,1
1,1,66,1,1,3,3
1,1,47,1,1,6,1
