,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
5318,1,1,46,6,1,0,2,0,1
760,1,1,54,1,1,0,1,780000,3
5575,1,1,28,1,1,0,3,1441427,3
2325,1,1,20,6,6,0,3,355000,3
6851,2,1,37,5,2,0,2,0,1
3939,1,1,40,6,1,0,2,163000,2
1949,1,1,28,1,1,3,3,433726.86864,3
7154,2,2,33,2,2,4,1,2506161.66666667,3
6700,2,1,50,2,2,1,1,581074,3
5289,1,1,26,2,1,0,3,720416.666666667,3
7116,2,2,19,5,2,0,3,922886.6,3
2902,1,1,36,4,1,1,1,312000,2
5703,1,1,35,1,1,3,1,3639860.17383333,3
4483,1,1,20,4,1,0,2,2482740,3
5588,1,1,38,1,1,4,1,5033695.33333333,3
4272,1,1,41,5,1,4,1,6402027.76425333,3
4368,1,1,59,1,1,4,3,655804.831858821,3
5037,1,1,43,1,1,1,1,2049331.33333333,3
7924,3,2,63,1,3,4,3,1101833.33333333,3
5745,1,1,49,1,1,1,3,1735392.87380952,3
9903,5,2,38,1,5,0,1,338632.666666667,3
5085,1,1,30,1,1,0,1,1074288.8,3
5176,1,1,31,1,1,4,1,1603508.33874948,3
6709,2,1,52,2,2,6,3,7776314,3
6224,1,2,49,1,1,1,3,1215155.66666667,3
3497,1,1,42,1,1,4,1,1908833.33333333,3
10519,6,2,17,1,6,0,1,146000,2
3265,1,1,23,6,1,0,3,1203861.53333333,3
8105,3,2,53,6,3,1,3,1186861,3
4477,1,1,35,1,1,4,1,3173516.66666667,3
3754,1,1,26,1,1,3,1,2813540.6,3
4944,1,1,53,1,1,4,1,1114507.33333333,3
4400,1,1,29,1,1,2,1,920000,3
4201,1,1,19,1,1,0,3,1000000,3
7604,3,1,17,2,3,0,3,140000,1
2526,1,1,52,1,1,3,1,1972567.00229333,3
73,1,1,55,1,1,0,1,560000,3
3611,1,1,32,4,1,4,1,1335274.63333333,3
5236,1,1,27,1,1,4,1,2085416.66666667,3
1249,1,1,19,1,1,0,3,726500,3
7128,2,2,56,2,2,3,1,1175148,3
2695,1,1,28,9,9,4,1,1757132,3
10148,6,1,33,1,6,4,1,1469597.56666667,3
6212,1,2,61,2,1,3,1,1373333.33333333,3
5435,1,1,73,1,1,4,3,1225000,3
8192,4,1,24,4,4,4,2,1366030.46666667,3
8732,4,2,39,3,4,4,1,1179035,3
2867,1,1,53,5,1,1,1,464166.666666667,3
5086,1,1,32,1,1,1,1,2733082.12626263,3
1351,1,1,35,1,1,4,1,4073873.40372307,3
3289,1,1,26,3,1,0,1,1683626.97993247,3
2728,1,1,55,1,1,4,1,3031136.33333333,3
9545,5,1,48,1,5,4,1,15566858.6666667,3
10273,6,1,37,4,6,4,1,1153833.33333333,3
9033,5,1,18,4,5,0,3,3805000,3
2237,1,1,68,2,1,0,3,270833.333333333,3
139,1,1,52,1,1,3,1,2667322.66666667,3
9286,5,1,15,1,5,0,3,492788.44,2
764,1,1,32,1,1,0,1,1097148,3
1704,1,1,51,2,1,3,1,973851.666666667,3
5850,1,1,20,1,1,0,3,594633.626666667,2
5829,1,1,41,1,1,6,1,3378165.26666667,3
1309,1,1,55,1,1,4,1,1312506,3
77,1,1,43,1,1,3,1,3427163.13333333,3
4028,1,1,40,4,1,3,1,1851174,3
9859,5,2,30,5,5,4,1,2692503.66666667,3
5918,1,1,47,1,1,4,1,2421306.33333333,3
10391,6,2,17,1,6,0,3,686077.48,3
6018,1,2,30,1,1,6,1,1300000,3
846,1,1,18,1,1,0,3,827406.666666667,3
8629,4,2,40,3,4,1,3,258000,3
2899,1,1,48,1,1,2,1,2089500.88200663,3
5774,1,1,30,1,1,6,1,1880461.86063163,3
10549,6,2,34,1,6,0,1,423137.404,3
7094,2,2,20,5,2,0,3,626820,2
5068,1,1,39,3,1,6,1,6662222.66666667,3
3451,1,1,30,1,1,0,1,739648,3
2618,1,1,28,1,1,5,1,2200881.79333333,3
10405,6,2,36,6,6,3,1,2401917.7,3
1229,1,1,58,1,1,1,1,631617.416666667,3
4925,1,1,41,2,1,2,1,2007802.33333333,3
5969,1,2,20,1,1,1,1,706662.266666667,3
1537,1,1,62,1,1,4,1,1314203.52655106,3
10059,5,2,42,1,5,0,1,497698.2,3
2500,1,1,26,1,1,4,1,8144630,3
3278,1,1,22,1,1,0,3,2187466.66666667,3
5437,1,1,31,5,1,4,1,1671371,3
10204,6,1,58,1,6,3,1,6103222.9,3
7404,3,1,67,1,3,4,3,1694299,3
4880,1,1,63,1,1,3,3,647333.333333333,3
9546,5,1,47,1,5,6,1,15566858.6666667,3
3136,1,1,57,2,1,0,1,309500,3
5758,1,1,78,1,1,0,3,1808083.33333333,3
4572,1,1,46,1,1,0,1,4932746,3
2940,1,1,30,1,1,5,1,8526738.33333333,3
4543,1,1,23,1,1,0,3,930839.333333333,3
918,1,1,57,1,1,6,3,3359684.9,3
10173,6,1,51,1,1,6,3,1287066.66666667,3
4664,1,1,22,1,1,0,3,580833.333333333,3
5933,1,2,19,1,1,0,3,579800,3
400,1,1,65,1,1,0,1,2439025.49382716,3
1769,1,1,26,1,1,3,1,1957234.93333333,3
5467,1,1,41,1,1,6,1,1950000,3
9144,5,1,17,1,5,0,3,439400,3
8174,4,1,72,1,4,3,3,2324666.66666667,3
4913,1,1,65,1,1,3,3,1228235.26669934,3
4391,1,1,44,1,1,4,1,3507391.33333333,3
4229,1,1,45,2,1,4,1,1717369.33333333,3
8359,4,1,23,1,4,4,1,1019174,3
2069,1,1,26,1,1,4,1,1765714.16666667,3
1560,1,1,35,5,1,4,1,3392766,3
8777,4,2,63,6,1,3,3,1331416.66666667,3
3120,1,1,25,6,1,3,1,4200690.86666667,3
2099,1,1,41,2,1,3,1,1432929.50960095,3
3018,1,1,30,1,1,0,1,2551614,3
4954,1,1,47,1,1,3,1,2759427.66666667,3
6699,2,1,43,2,2,3,1,876939.266666667,3
107,1,1,64,4,1,1,3,842850.233333333,3
2991,1,1,51,9,1,6,1,9034403.43333333,3
2838,1,1,22,1,1,0,3,2491666.66666667,3
6562,1,2,31,1,1,1,3,413400,3
2232,1,1,29,1,1,4,1,2766300.33333333,3
1475,1,1,67,1,1,4,3,563333.333333333,3
7221,2,2,24,3,2,0,1,1441449.48,3
2276,1,1,47,1,1,3,3,1234055.33333333,3
7789,3,1,51,1,3,3,1,837148,3
4989,1,1,40,1,1,4,2,706407,3
872,1,1,65,1,1,4,3,2210000,3
4300,1,1,30,1,1,1,1,823611,3
3119,1,1,27,6,1,3,1,4200690.86666667,3
