,injectDate,street,city,delay,endNode,neighborhood_destination,neighborhood_initial
22355,04/21/2017 06:30:00 AM,Arborway,"Boston, MA",-1,to South St,Downtown,
18431,04/20/2017 01:10:00 PM,Bowdoin St,"Boston, MA",83,Adams St,Stony Brook / Cleary Square,
3196,04/24/2017 03:20:00 PM,Meridian St,"Boston, MA",161,Maverick St,East Boston,
31820,04/23/2017 04:10:00 AM,Exeter St,"Boston, MA",104,Huntington Ave,,Back Bay
17577,04/20/2017 11:50:00 AM,Hyde Park Ave,"Boston, MA",340,Washington St,,
3801,04/24/2017 05:10:00 PM,S Huntington Ave,"Boston, MA",80,Perkins St,Medford Street / The Neck,
29065,04/22/2017 05:10:00 PM,Charles St,"Boston, MA",137,Geneva Ave,,Dorchester
5602,04/24/2017 11:00:00 PM,Blue Hill Ave,"Boston, MA",78,American Legion Hwy,,
13640,04/19/2017 01:30:00 PM,Meridian St,"Boston, MA",215,Maverick St,East Boston,
20139,04/20/2017 08:50:00 PM,E 1st St,"Boston, MA",339,Farragut Rd,South Boston,South Boston
6804,04/25/2017 02:40:00 AM,Massachusetts Ave,"Boston, MA",343,Tremont St,,
706,04/24/2017 02:00:00 AM,Washington St,"Boston, MA",88,Blue Hill Ave,,
16105,04/19/2017 10:40:00 PM,Hanover St,"Boston, MA",164,Battery St,North End,
26839,04/22/2017 03:20:00 AM,New Chardon St,"Boston, MA",93,Surface Rd,,
7145,04/25/2017 04:40:00 AM,Hyde Park Ave,"Boston, MA",98,Destefano Rd,Roslindale,
32484,04/23/2017 07:50:00 AM,Tremont St,"Boston, MA",218,Herald St,South End,
32105,04/23/2017 05:40:00 AM,Quincy St,"Boston, MA",64,Warren St,Roxbury,
29975,04/22/2017 08:50:00 PM,Park St,"Boston, MA",125,Freeport St,Dorchester,
19304,04/20/2017 06:00:00 PM,Blue Hill Ave,"Boston, MA",75,Geneva Ave,,
3351,04/24/2017 03:50:00 PM,to Cambridge / Somerville,"Boston, MA",591,Cambridge St,,Assembly Square
16195,04/19/2017 11:20:00 PM,William T Morrissey Blvd,"Boston, MA",86,to Columbia Road / Boston,,
29484,04/22/2017 06:20:00 PM,Hanover St,"Boston, MA",140,Cross St,,
13085,04/19/2017 12:20:00 PM,Park Dr,"Boston, MA",112,Riverway,,Fenway/Kenmore
4675,04/24/2017 08:10:00 PM,Malcolm 'X' Blvd,"Boston, MA",60,Washington St,,Roxbury
22045,04/21/2017 04:20:00 AM,Blue Hill Ave,"Boston, MA",76,Seaver St,Roxbury,
6341,04/25/2017 01:00:00 AM,Quincy St,"Boston, MA",93,Blue Hill Ave,,
20523,04/20/2017 10:00:00 PM,to I-93 N / Concord NH,"Boston, MA",97,I-93 N,,
22947,04/21/2017 12:20:00 PM,Huntington Ave,"Boston, MA",94,Forsyth Way,Fenway/Kenmore,
7964,04/25/2017 12:40:00 PM,Kilsyth Rd,"Boston, MA",103,Lanark Rd,,Brighton
4584,04/24/2017 07:50:00 PM,Freeport St,"Boston, MA",68,Dorchester Ave,,Dorchester
22788,04/21/2017 12:10:00 PM,Cummins Hwy,"Boston, MA",238,Washington St,,
13023,04/19/2017 12:20:00 PM,Columbia Rd,"Boston, MA",103,Dudley St,,
27195,04/22/2017 04:10:00 AM,Washington St,"Boston, MA",124,Marginal Rd,,
17614,04/20/2017 12:00:00 PM,to I-93 N Boston / Cambridge,"Boston, MA",150,I-93 N,,
11240,04/25/2017 11:50:00 PM,Market St,"Boston, MA",80,Washington St,,
5423,04/24/2017 10:30:00 PM,Melnea Cass Blvd,"Boston, MA",555,Tremont St,,
9319,04/25/2017 05:20:00 PM,Washington St,"Boston, MA",80,Ukraine Way,Forest Hills / Woodbourne,
21451,04/21/2017 02:20:00 AM,Washington St,"Boston, MA",97,Massachusetts Ave,,
29247,04/22/2017 05:30:00 PM,Westland Ave,"Boston, MA",134,Massachusetts Ave,,Fenway/Kenmore
17219,04/20/2017 05:30:00 AM,Huntington Ave,"Boston, MA",98,Forsyth Way,Fenway/Kenmore,
29736,04/22/2017 07:40:00 PM,Brighton Ave,"Boston, MA",96,Harvard Ave,Allston,
29983,04/22/2017 08:50:00 PM,Hanover St,"Boston, MA",70,Cross St,,
2751,04/24/2017 02:10:00 PM,Shawmut Ave,"Boston, MA",114,Malcolm 'X' Blvd,Roxbury,
3411,04/24/2017 04:00:00 PM,Dudley St,"Boston, MA",197,Stoughton St,Dorchester,
7858,04/25/2017 12:30:00 PM,Arborway,"Boston, MA",177,Washington St,,
4566,04/24/2017 07:50:00 PM,Southampton St,"Boston, MA",85,Mass Ave Connector,,
