@relation migracion_v3_clustered

@attribute Instance_number numeric
@attribute zona {1,2,9}
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute region {1,2,3,4,5,6,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,1,7,2,1,cluster4
1,1,7,2,1,cluster4
2,1,4,2,1,cluster3
3,1,4,2,1,cluster3
4,1,4,2,1,cluster3
5,1,4,2,1,cluster3
6,1,7,1,1,cluster4
7,1,7,1,1,cluster4
8,1,2,1,1,cluster1
9,1,1,1,1,cluster0
10,1,8,1,1,cluster4
11,1,2,2,1,cluster0
12,1,3,1,1,cluster1
13,1,3,1,1,cluster1
14,1,0,9,1,cluster0
15,1,3,2,1,cluster3
16,1,7,1,1,cluster4
17,1,2,1,1,cluster1
18,1,1,2,1,cluster0
19,1,1,2,1,cluster0
20,1,7,1,1,cluster4
21,1,0,1,1,cluster0
22,1,1,2,1,cluster0
23,1,3,2,1,cluster3
24,1,3,1,1,cluster1
25,1,2,1,1,cluster1
26,1,4,1,1,cluster3
27,1,2,1,1,cluster1
28,1,7,1,1,cluster4
29,1,7,2,1,cluster4
30,1,4,1,1,cluster3
31,1,4,1,1,cluster3
32,1,0,9,1,cluster0
33,1,0,9,1,cluster0
34,1,3,1,1,cluster1
35,1,4,1,1,cluster3
36,1,3,2,1,cluster3
37,1,1,2,1,cluster0
38,1,7,1,1,cluster4
39,1,4,1,1,cluster3
40,1,2,1,1,cluster1
41,1,2,1,1,cluster1
42,1,2,2,1,cluster0
43,1,1,2,1,cluster0
44,1,7,1,1,cluster4
45,1,1,1,1,cluster0
46,1,2,1,1,cluster1
47,1,4,2,1,cluster3
48,1,3,1,1,cluster1
49,1,4,2,1,cluster3
50,1,3,2,1,cluster3
51,1,8,1,1,cluster4
52,1,2,2,1,cluster0
53,1,2,2,1,cluster0
54,1,3,2,1,cluster3
55,1,4,2,1,cluster3
56,1,8,2,1,cluster4
57,1,3,2,1,cluster3
58,1,99,1,1,cluster4
59,1,6,1,1,cluster4
60,1,3,1,1,cluster1
61,1,3,1,1,cluster1
62,1,2,1,1,cluster1
63,1,7,2,1,cluster4
64,1,7,1,1,cluster4
65,1,7,1,1,cluster4
66,1,1,2,1,cluster0
67,1,0,2,1,cluster0
68,1,3,2,1,cluster3
69,1,3,2,1,cluster3
70,1,2,2,1,cluster0
71,1,7,1,1,cluster4
72,1,7,1,1,cluster4
73,1,7,1,1,cluster4
74,1,7,1,1,cluster4
75,1,8,1,1,cluster4
76,1,7,1,1,cluster4
77,1,3,1,1,cluster1
78,1,7,2,1,cluster4
79,1,3,2,1,cluster3
80,1,7,1,1,cluster4
81,1,3,1,1,cluster1
82,1,2,2,1,cluster0
83,1,7,2,1,cluster4
84,1,2,2,1,cluster0
85,1,7,2,1,cluster4
86,1,3,2,1,cluster3
87,1,4,1,1,cluster3
88,1,7,2,1,cluster4
89,1,7,2,1,cluster4
90,1,7,1,1,cluster4
91,1,1,1,1,cluster0
92,1,7,2,1,cluster4
93,1,0,9,1,cluster0
94,1,3,1,1,cluster1
95,1,0,2,1,cluster0
96,1,7,1,1,cluster4
97,1,7,1,1,cluster4
98,1,7,1,1,cluster4
99,1,2,2,1,cluster0
100,1,2,2,1,cluster0
101,1,1,2,1,cluster0
102,1,1,2,1,cluster0
103,1,2,1,1,cluster1
104,1,2,1,1,cluster1
105,1,2,1,1,cluster1
106,1,3,2,1,cluster3
107,1,7,1,1,cluster4
108,1,4,1,1,cluster3
109,1,8,1,1,cluster4
110,1,3,2,1,cluster3
111,1,2,2,1,cluster0
112,1,7,1,1,cluster4
113,1,3,2,1,cluster3
114,1,4,1,1,cluster3
115,1,7,1,1,cluster4
116,1,7,1,1,cluster4
117,1,3,2,1,cluster3
118,1,2,2,1,cluster0
119,1,3,2,1,cluster3
120,1,2,2,1,cluster0
121,1,2,2,1,cluster0
122,1,8,1,1,cluster4
123,1,7,2,1,cluster4
124,1,4,2,1,cluster3
125,1,4,1,1,cluster3
126,1,3,1,1,cluster1
127,1,1,2,1,cluster0
128,1,3,1,1,cluster1
129,1,2,1,1,cluster1
130,1,1,2,1,cluster0
131,1,2,1,1,cluster1
132,1,6,2,1,cluster4
133,1,2,2,1,cluster0
134,1,4,1,1,cluster3
135,1,4,2,1,cluster3
136,1,7,1,1,cluster4
137,1,1,1,1,cluster0
138,1,3,2,1,cluster3
139,1,2,2,1,cluster0
140,1,7,1,1,cluster4
141,1,7,1,1,cluster4
142,1,6,1,1,cluster4
143,1,6,1,1,cluster4
144,1,0,2,1,cluster0
145,1,3,1,1,cluster1
146,1,8,2,1,cluster4
147,1,7,1,1,cluster4
148,1,1,2,1,cluster0
149,1,3,1,1,cluster1
150,1,1,2,1,cluster0
151,1,3,2,1,cluster3
152,1,3,1,1,cluster1
153,1,2,1,1,cluster1
154,1,2,2,1,cluster0
155,1,4,2,1,cluster3
156,1,3,2,1,cluster3
157,1,4,2,1,cluster3
158,1,1,2,1,cluster0
159,1,4,1,1,cluster3
160,1,7,2,1,cluster4
161,1,3,2,1,cluster3
162,1,4,1,1,cluster3
163,1,7,1,1,cluster4
164,1,1,2,1,cluster0
165,1,4,2,1,cluster3
166,1,7,2,1,cluster4
167,1,8,2,1,cluster4
168,1,7,2,1,cluster4
169,1,4,2,1,cluster3
170,1,7,1,1,cluster4
171,1,7,1,1,cluster4
172,1,7,2,1,cluster4
173,1,7,1,1,cluster4
174,1,3,2,1,cluster3
