,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona
0,1,1,joven_adulto,4,4,Secundaria_completada,Retirado,Ingreso_Bajo
1,1,1,joven_adulto,6,6,Secundaria_completada,Retirado,Ingreso_Bajo
2,1,1,joven_adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
5,1,1,joven_adulto,5,5,Universidad_completada,Ocupado,Ingreso_Bajo
6,1,1,joven_adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Bajo
7,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
8,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
9,1,1,adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
10,1,1,adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Bajo
11,1,1,adulto,7,4,Secundaria_completada,Ocupado,Ingreso_Bajo
12,1,1,adulto,5,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
13,1,1,joven_adulto,7,3,Secundaria_completada,Retirado,Ingreso_Bajo
14,1,1,adulto,1,5,Secundaria_completada,Ocupado,Ingreso_Medio_Alto
15,1,1,adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
16,1,1,joven_adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Bajo
17,1,1,adulto,1,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
20,1,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
21,1,1,adulto,5,3,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
22,1,1,adulto,1,2,Sin_educacion,Retirado,Ingreso_Bajo
23,1,1,adulto,1,2,Desconocido,Ocupado,Ingreso_Bajo
24,1,1,adulto,4,4,Universidad_completada,Ocupado,Ingreso_Medio_Alto
25,1,1,adulto,6,6,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
26,1,1,adulto,6,6,Universidad_completada,Retirado,Ingreso_Bajo
27,1,1,joven_adulto,1,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
28,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
30,1,1,adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
33,1,1,adulto,2,2,Universidad_completada,Ocupado,Ingreso_Bajo
34,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
35,1,1,adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Bajo
36,1,1,ciudadano_de_oro,7,2,Desconocido,Ocupado,Ingreso_Bajo
37,1,1,joven_adulto,1,5,Secundaria_completada,Retirado,Ingreso_Bajo
38,1,1,adulto,7,5,Desconocido,Ocupado,Ingreso_Bajo
39,1,1,joven_adulto,4,4,Universidad_completada,Retirado,Ingreso_Bajo
41,1,1,ciudadano_de_oro,1,3,Secundaria_completada,Retirado,Ingreso_Bajo
42,1,1,adulto,1,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
43,1,1,adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Bajo
44,1,1,joven_adulto,2,2,Secundaria_completada,Retirado,Ingreso_Bajo
45,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
46,1,1,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
47,1,1,adulto,4,6,Secundaria_completada,Ocupado,Ingreso_Bajo
49,1,1,joven_adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Bajo
51,1,1,joven_adulto,4,4,Universidad_completada,Retirado,Ingreso_Bajo
52,1,1,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Medio_Alto
53,1,1,ciudadano_de_oro,2,2,Secundaria_completada,Retirado,Ingreso_Bajo
54,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
56,1,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
57,1,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Bajo
58,1,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
59,1,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
60,1,1,adulto,2,3,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
61,1,1,adulto,1,3,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
62,1,1,joven_adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
63,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
67,1,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
68,1,1,joven_adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
69,1,1,ciudadano_de_oro,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
70,1,1,joven_adulto,6,6,Universidad_completada,Retirado,Ingreso_Bajo
71,1,1,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Bajo
72,1,1,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
73,1,1,adulto,1,6,Secundaria_completada,Ocupado,Ingreso_Bajo
74,1,1,joven_adulto,6,6,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
75,1,1,joven_adulto,6,6,Secundaria_completada,Retirado,Ingreso_Bajo
76,1,1,adulto,2,2,Universidad_completada,Ocupado,Ingreso_Bajo
