,Unnamed: 0,injectDate,street,city,endNode,neighborhood_destination,neighborhood_initial,duration,distance
302,17494,04/20/2017 11:40:00 AM,Dorchester Ave,"Boston, MA",Wrentham St,Dorchester,South Boston,502,2594
170,24869,04/21/2017 07:00:00 PM,Freeport St,"Boston, MA",William T Morrissey Blvd,Dorchester,Dorchester,83,492
235,7753,04/25/2017 12:20:00 PM,Neponset Ave,"Boston, MA",William T Morrissey Blvd,Dorchester,Hyde Park,1065,7159
453,29306,04/22/2017 05:40:00 PM,Freeport St,"Boston, MA",William T Morrissey Blvd,Dorchester,Dorchester,83,492
174,29008,04/22/2017 05:00:00 PM,Blue Hill Ave,"Boston, MA",Wilcock St,Mattapan,Roxbury,297,1395
449,10908,04/25/2017 11:00:00 PM,Fenway,"Boston, MA",Westland Ave,Fenway/Kenmore,Fenway/Kenmore,423,1810
459,25321,04/21/2017 09:00:00 PM,Fenway,"Boston, MA",Westland Ave,Fenway/Kenmore,Fenway/Kenmore,423,1810
23,4675,04/24/2017 08:10:00 PM,Malcolm 'X' Blvd,"Boston, MA",Washington St,South End,Roxbury,2359,30147
57,17258,04/20/2017 06:00:00 AM,Chestnut Hill Ave,"Boston, MA",Washington St,South End,Brighton,1958,29239
65,7569,04/25/2017 11:50:00 AM,W Dedham St,"Boston, MA",Washington St,South End,South End,1819,33721
211,5291,04/24/2017 09:50:00 PM,Brinsley St,"Boston, MA",Washington St,South End,Roxbury,1939,31718
217,5609,04/24/2017 11:00:00 PM,Malcolm 'X' Blvd,"Boston, MA",Washington St,South End,Roxbury,2067,34874
258,19683,04/20/2017 07:10:00 PM,St James St,"Boston, MA",Washington St,South End,Roxbury,2505,23558
375,17842,04/20/2017 12:30:00 PM,Firth Rd,"Boston, MA",Washington St,South End,Roslindale,1726,15651
488,3263,04/24/2017 03:30:00 PM,Aspinwall Rd,"Boston, MA",Washington St,South End,Dorchester,1771,28343
512,16113,04/19/2017 10:40:00 PM,Williams St,"Boston, MA",Washington St,South End,Roxbury,2015,34509
16,32105,04/23/2017 05:40:00 AM,Quincy St,"Boston, MA",Warren St,Roxbury,Dorchester,288,1423
226,32994,04/23/2017 04:00:00 PM,Quincy St,"Boston, MA",Warren St,Roxbury,Dorchester,288,1423
328,5411,04/24/2017 10:30:00 PM,Martin Luther King Blvd,"Boston, MA",Warren St,Roxbury,Roxbury,173,826
349,15367,04/19/2017 08:00:00 PM,Cambridge St,"Boston, MA",Warren St,Roxbury,Allston,1185,7683
472,15779,04/19/2017 09:30:00 PM,Blue Hill Ave,"Boston, MA",Warren St,Roxbury,Roxbury,610,3067
515,15063,04/19/2017 07:30:00 PM,Humboldt Ave,"Boston, MA",Walnut Ave,,Roxbury,111,521
574,18923,04/20/2017 04:10:00 PM,Warren St,"Boston, MA",Walnut Ave,,Roxbury,187,1243
567,8161,04/25/2017 01:30:00 PM,Warren St,"Boston, MA",Wabon St,Roxbury,Roxbury,140,857
384,21398,04/21/2017 02:10:00 AM,Adams St,"Boston, MA",Victory Rd,Dorchester,Stony Brook / Cleary Square,860,11278
123,25525,04/21/2017 09:40:00 PM,Baker St,"Boston, MA",VFW Pkwy,,West Roxbury,164,1409
145,29947,04/22/2017 08:40:00 PM,Baker St,"Boston, MA",VFW Pkwy,,West Roxbury,164,1409
307,6724,04/25/2017 02:20:00 AM,Spring St,"Boston, MA",VFW Pkwy,,Upper Washington / Spring Street,127,895
254,27188,04/22/2017 04:00:00 AM,Blue Hill Ave,"Boston, MA",Vesta Rd,Roxbury,Roxbury,25,96
36,9319,04/25/2017 05:20:00 PM,Washington St,"Boston, MA",Ukraine Way,Forest Hills / Woodbourne,South End,1874,17311
75,10483,04/25/2017 09:50:00 PM,Malcolm 'X' Blvd,"Boston, MA",Tremont St,,Roxbury,362,2039
310,19940,04/20/2017 08:20:00 PM,Humboldt Ave,"Boston, MA",Townsend St,Roxbury,Roxbury,76,485
362,16199,04/19/2017 11:20:00 PM,Humboldt Ave,"Boston, MA",Townsend St,Roxbury,Roxbury,76,485
0,22355,04/21/2017 06:30:00 AM,Arborway,"Boston, MA",to South St,Downtown,Jamaica Plain,1574,8554
420,30368,04/22/2017 11:10:00 PM,Transportation Way,"Boston, MA",to I-90 W Mass Pike,,Jeffries Point,1894,39719
455,17989,04/20/2017 12:40:00 PM,Transportation Way,"Boston, MA",to I-90 W Mass Pike,,Jeffries Point,1894,39719
275,4374,04/24/2017 07:10:00 PM,Washington St,"Boston, MA",Temple Pl,Downtown Crossing,South End,2058,35563
288,33541,04/23/2017 06:40:00 PM,Washington St,"Boston, MA",Temple Pl,Downtown Crossing,South End,2058,35563
318,28296,04/22/2017 02:20:00 PM,Lincoln St,"Boston, MA",Surface Artery,Chinatown,Stony Brook / Cleary Square,165,564
522,2515,04/24/2017 01:30:00 PM,Blue Hill Ave,"Boston, MA",Stanwood St,Roxbury,Roxbury,358,1900
188,22894,04/21/2017 12:20:00 PM,Baker St,"Boston, MA",Spring St,Upper Washington / Spring Street,West Roxbury,117,817
563,15420,04/19/2017 08:10:00 PM,Centre St,"Boston, MA",Spring St,Upper Washington / Spring Street,Jamaica Plain,644,5175
163,14696,04/19/2017 06:00:00 PM,to South St,"Boston, MA",South St,Downtown,Downtown,0,0
213,15842,04/19/2017 09:30:00 PM,to South St,"Boston, MA",South St,Downtown,Downtown,0,0
327,24415,04/21/2017 05:20:00 PM,Washington St,"Boston, MA",South St,Downtown,South End,1766,34989
606,1311,04/24/2017 05:30:00 AM,Washington St,"Boston, MA",South St,Downtown,South End,1766,34989
260,27410,04/22/2017 04:50:00 AM,Hammond St,"Boston, MA",Shawmut Ave,,South End,280,1183
456,10960,04/25/2017 11:10:00 PM,E Berkeley St,"Boston, MA",Shawmut Ave,,South End,330,1437
50,17491,04/20/2017 11:40:00 AM,Dorchester Ave,"Boston, MA",Semont Rd,Dorchester,South Boston,422,2097
24,22045,04/21/2017 04:20:00 AM,Blue Hill Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,241,1364
63,23782,04/21/2017 02:30:00 PM,Blue Hill Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,241,1364
179,22180,04/21/2017 05:10:00 AM,Blue Hill Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,241,1364
183,8260,04/25/2017 01:50:00 PM,Humboldt Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,303,1273
234,29888,04/22/2017 08:20:00 PM,Blue Hill Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,241,1364
352,6305,04/25/2017 01:00:00 AM,Blue Hill Ave,"Boston, MA",Seaver St,Roxbury,Roxbury,241,1364
22,13085,04/19/2017 12:20:00 PM,Park Dr,"Boston, MA",Riverway,Mission Hill,Fenway/Kenmore,215,1321
148,15453,04/19/2017 08:20:00 PM,Townsend St,"Boston, MA",Quincy St,Dorchester,Roxbury,285,1395
334,550,04/24/2017 01:30:00 AM,Warren St,"Boston, MA",Quincy St,Dorchester,Roxbury,241,1348
439,32362,04/23/2017 07:10:00 AM,Warren St,"Boston, MA",Quincy St,Dorchester,Roxbury,241,1348
540,9258,04/25/2017 05:00:00 PM,High St,"Boston, MA",Purchase St,,Dorchester,204,631
256,21958,04/21/2017 04:00:00 AM,Pearl St,"Boston, MA",Post Office Sq,Financial District,Downtown,810,7532
461,7501,04/25/2017 11:40:00 AM,Jamaicaway,"Boston, MA",Perkins St,Medford Street / The Neck,Jamaica Plain,66,509
331,22104,04/21/2017 04:40:00 AM,Adams St,"Boston, MA",Parkman St,Dorchester,Stony Brook / Cleary Square,524,3660
408,340,04/24/2017 12:50:00 AM,Adams St,"Boston, MA",Parkman St,Dorchester,Stony Brook / Cleary Square,524,3660
551,9808,04/25/2017 07:30:00 PM,Adams St,"Boston, MA",Parkman St,Dorchester,Stony Brook / Cleary Square,524,3660
626,9857,04/25/2017 07:40:00 PM,Adams St,"Boston, MA",Parkman St,Dorchester,Stony Brook / Cleary Square,524,3660
631,6991,04/25/2017 03:50:00 AM,Adams St,"Boston, MA",Parkman St,Dorchester,Stony Brook / Cleary Square,524,3660
296,13800,04/19/2017 02:10:00 PM,Arlington St,"Boston, MA",Park Plz,Downtown,Hyde Park,174,621
304,29587,04/22/2017 06:50:00 PM,Queensberry St,"Boston, MA",Park Dr,Fenway/Kenmore,West Fens,143,785
555,19509,04/20/2017 06:30:00 PM,E 1st St,"Boston, MA",O St,South Boston,South Boston,118,733
568,18557,04/20/2017 02:00:00 PM,Babson St,"Boston, MA",Norfolk St,,Mattapan,225,1427
167,24582,04/21/2017 05:50:00 PM,Washington St,"Boston, MA",Murray Hill Rd,Roslindale,South End,1712,15520
415,31989,04/23/2017 04:40:00 AM,Dorchester Ave,"Boston, MA",Mercier Ave,Dorchester,South Boston,605,3005
38,29247,04/22/2017 05:30:00 PM,Westland Ave,"Boston, MA",Massachusetts Ave,,Fenway/Kenmore,1246,11219
506,26993,04/22/2017 03:30:00 AM,Westland Ave,"Boston, MA",Massachusetts Ave,,Fenway/Kenmore,1246,11219
405,14902,04/19/2017 06:40:00 PM,Faneuil St,"Boston, MA",Market St,,Brighton,178,967
618,29232,04/22/2017 05:30:00 PM,Washington St,"Boston, MA",Malcolm 'X' Blvd,Roxbury,South End,2027,35589
390,24188,04/21/2017 04:30:00 PM,Austin St,"Boston, MA",Main St,,Hyde Park,2015,25529
377,7785,04/25/2017 12:20:00 PM,Adams St,"Boston, MA",Lonsdale St,Dorchester,Stony Brook / Cleary Square,1079,12602
550,13939,04/19/2017 02:40:00 PM,Charles St,"Boston, MA",Leverett Cir,West End,Dorchester,1065,11347
77,5986,04/25/2017 12:10:00 AM,Lincoln St,"Boston, MA",Leo M Birmingham Pkwy,,Stony Brook / Cleary Square,853,9569
28,7964,04/25/2017 12:40:00 PM,Kilsyth Rd,"Boston, MA",Lanark Rd,,Brighton,138,425
100,5699,04/24/2017 11:20:00 PM,Centre St,"Boston, MA",Lagrange St,Theatre District,Jamaica Plain,477,4103
373,8281,04/25/2017 01:50:00 PM,E 1st St,"Boston, MA",L St,South Boston,South Boston,143,521
464,18241,04/20/2017 12:50:00 PM,E 1st St,"Boston, MA",L St,South Boston,South Boston,143,521
597,17794,04/20/2017 12:20:00 PM,E 1st St,"Boston, MA",L St,South Boston,South Boston,143,521
279,21830,04/21/2017 03:30:00 AM,Perkins St,"Boston, MA",Jamaicaway,Jamaica Plain,Medford Street / The Neck,85,509
423,13028,04/19/2017 12:20:00 PM,Perkins St,"Boston, MA",Jamaicaway,Jamaica Plain,Medford Street / The Neck,85,509
425,29456,04/22/2017 06:20:00 PM,Burroughs St,"Boston, MA",Jamaicaway,Jamaica Plain,Jamaica Plain,172,1402
71,32215,04/23/2017 06:40:00 AM,Lansdowne St,"Boston, MA",Ipswich St,Fenway/Kenmore,Fenway/Kenmore,70,287
347,25932,04/22/2017 12:10:00 AM,Lansdowne St,"Boston, MA",Ipswich St,Fenway/Kenmore,Fenway/Kenmore,70,287
494,20003,04/20/2017 08:30:00 PM,to I-93 S / Quincy,"Boston, MA",I-93 S,,Medford Street / The Neck,591,3666
3,31820,04/23/2017 04:10:00 AM,Exeter St,"Boston, MA",Huntington Ave,Fenway/Kenmore,Back Bay,457,1983
340,2420,04/24/2017 01:10:00 PM,Seaver St,"Boston, MA",Humboldt Ave,Roxbury,Roxbury,152,1060
596,18444,04/20/2017 01:30:00 PM,Seaver St,"Boston, MA",Humboldt Ave,Roxbury,Roxbury,152,1060
251,2005,04/24/2017 12:20:00 PM,Washington St,"Boston, MA",Herald St,South End,South End,1952,35124
504,30810,04/23/2017 12:30:00 AM,Arlington St,"Boston, MA",Herald St,South End,Hyde Park,167,780
151,1134,04/24/2017 04:00:00 AM,Centre St,"Boston, MA",Hastings St,Brook Farm,Jamaica Plain,422,2976
309,23992,04/21/2017 03:30:00 PM,Warren St,"Boston, MA",Harrison Ave,,Roxbury,680,2695
524,4695,04/24/2017 08:10:00 PM,Warren St,"Boston, MA",Harrison Ave,,Roxbury,680,2695
537,17824,04/20/2017 12:30:00 PM,Warren St,"Boston, MA",Harrison Ave,,Roxbury,680,2695
428,32249,04/23/2017 06:20:00 AM,Savin Hill Ave,"Boston, MA",Grampian Way,Dorchester,Dorchester,155,949
6,29065,04/22/2017 05:10:00 PM,Charles St,"Boston, MA",Geneva Ave,Dorchester,Dorchester,190,915
144,7549,04/25/2017 11:50:00 AM,Hallet St,"Boston, MA",Gallivan Blvd,,Dorchester,199,1358
554,2566,04/24/2017 01:40:00 PM,Adams St,"Boston, MA",Gallivan Blvd,,Stony Brook / Cleary Square,962,15161
91,25346,04/21/2017 09:10:00 PM,William T Morrissey Blvd,"Boston, MA",Freeport St,Dorchester,Dorchester,311,3077
101,6929,04/25/2017 03:20:00 AM,William T Morrissey Blvd,"Boston, MA",Freeport St,Dorchester,Dorchester,311,3077
