,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona
67,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
51,1,1,joven_adulto,2,2,Secundaria_completada,Retirado,
174,2,1,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
262,4,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
41,1,1,adulto,4,4,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
247,4,1,joven_adulto,4,1,Secundaria_completada,Retirado,Ingreso_Bajo
348,6,2,adulto,6,1,Secundaria_completada,Desempleado,
190,2,2,joven_adulto,5,3,Secundaria_completada,Retirado,
212,3,1,adulto,7,1,Secundaria_completada,Retirado,
240,3,2,adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
113,1,1,adulto,1,3,Universidad_completada,Retirado,Ingreso_Bajo
118,1,1,adulto,5,5,Secundaria_completada,Retirado,
365,6,2,adulto,6,3,Sin_educacion,Ocupado,Ingreso_Bajo
15,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
358,6,2,adulto,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
259,4,1,adulto,4,3,Secundaria_completada,Retirado,
6,1,1,adulto,5,3,Secundaria_completada,Ocupado,Ingreso_Bajo
284,4,2,adulto,1,1,Secundaria_completada,Retirado,
173,2,1,adulto,6,6,Secundaria_completada,Ocupado,Ingreso_Bajo
143,1,2,adulto,2,2,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
149,1,2,adulto,1,3,Secundaria_completada,Ocupado,Ingreso_Bajo
11,1,1,joven_adulto,3,3,Secundaria_completada,Retirado,
1,1,1,joven_adulto,7,2,Secundaria_completada,Ocupado,Ingreso_Bajo
315,5,2,ciudadano_de_oro,1,1,Secundaria_completada,Ocupado,Ingreso_Bajo
76,1,1,adulto,1,3,Universidad_completada,Ocupado,Ingreso_Bajo
165,2,1,adulto,2,3,Secundaria_completada,Ocupado,Ingreso_Bajo
366,6,2,adulto,7,1,Sin_educacion,Ocupado,Ingreso_Bajo
147,1,2,adulto,1,5,Secundaria_completada,Retirado,Ingreso_Bajo
168,2,1,adulto,2,1,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
102,1,1,adulto,7,6,Secundaria_completada,Retirado,
191,2,2,adulto,2,1,Secundaria_completada,Retirado,Ingreso_Bajo
16,1,1,ciudadano_de_oro,1,2,Secundaria_completada,Retirado,Ingreso_Bajo
269,4,2,adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
319,5,2,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
222,3,1,adulto,1,1,Universidad_completada,Ocupado,Ingreso_Medio_Alto
303,5,1,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
3,1,1,adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
183,2,2,adulto,1,1,Secundaria_completada,Desempleado,Ingreso_Bajo
152,1,2,adulto,6,6,Secundaria_completada,Desempleado,
359,6,2,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
7,1,1,,2,2,Secundaria_completada,Retirado,Ingreso_Bajo
332,6,1,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
189,2,2,adulto,2,3,Sin_educacion,Retirado,
292,4,2,adulto,4,1,Secundaria_completada,Retirado,Ingreso_Bajo
224,3,1,adulto,3,5,Secundaria_completada,Retirado,Ingreso_Bajo
336,6,2,adulto,1,1,Secundaria_completada,Retirado,Ingreso_Bajo
54,1,1,adulto,5,5,Universidad_completada,Retirado,Ingreso_Alto
120,1,1,joven_adulto,5,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
277,4,2,adulto,4,1,Sin_educacion,Ocupado,Ingreso_Bajo
21,1,1,adulto,3,3,Secundaria_completada,Ocupado,Ingreso_Bajo
146,1,2,adulto,7,6,Secundaria_completada,Ocupado,Ingreso_Bajo
338,6,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
339,6,2,,7,3,Secundaria_completada,Retirado,
82,1,1,joven_adulto,2,2,Universidad_completada,Ocupado,Ingreso_Bajo
334,6,1,adulto,7,2,Secundaria_completada,Desempleado,
116,1,1,adulto,7,5,Secundaria_completada,Retirado,Ingreso_Bajo
306,5,1,adulto,3,1,Universidad_completada,Retirado,Ingreso_Bajo
71,1,1,joven_adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
290,4,2,joven_adulto,4,1,Secundaria_completada,Ocupado,Ingreso_Bajo
234,3,2,adulto,3,1,Universidad_completada,Ocupado,Ingreso_Medio_Bajo
293,4,2,adulto,4,2,Universidad_completada,Ocupado,Ingreso_Bajo
214,3,1,adulto,4,1,Secundaria_completada,Retirado,
321,5,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
185,2,2,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
200,2,2,adulto,4,1,Universidad_completada,Ocupado,Ingreso_Bajo
50,1,1,joven_adulto,2,2,Secundaria_completada,Retirado,
211,3,1,adulto,7,1,Secundaria_completada,Ocupado,Ingreso_Bajo
335,6,1,adulto,6,1,Secundaria_completada,Ocupado,Ingreso_Bajo
99,1,1,adulto,1,5,Universidad_completada,Ocupado,Ingreso_Bajo
281,4,2,adulto,4,1,Secundaria_completada,Retirado,
61,1,1,joven_adulto,5,5,Secundaria_completada,Retirado,Ingreso_Bajo
5,1,1,ciudadano_de_oro,1,6,Secundaria_completada,Retirado,Ingreso_Bajo
58,1,1,joven_adulto,4,4,Secundaria_completada,Ocupado,Ingreso_Bajo
43,1,1,adulto,7,5,Secundaria_completada,Ocupado,Ingreso_Medio_Bajo
