ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/02/2013,2.0253058653,1.8692317197,1.6532125138,1.4623979979,1.4623979979,1.6532125138,1.8512583487,2.1613680022,2.3283796034,2.4440447959,2.587710965,2.525044807,2.6085260336,2.6138418219,2.5693739096,2.5998830721,2.5105450102,2.5954962218,2.57863921,2.5171958979,2.3961993471,2.2944662262,2.2718416065,2.2278867046
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/03/2013,2.0374264979,1.8692317197,1.7403626895,1.5682017241,1.414973348,1.3979400087,1.6720978579,1.8692317197,2.0453229788,2.3096301674,2.3961993471,2.5453071165,2.5728716022,2.5440680444,2.4885507165,2.463892989,2.4955443375,2.4031205212,2.383815366,2.3364597338,2.3222192947,2.1583624921,2.096910013,1.8976270913
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/04/2013,1.5563025008,1.4471580313,1.0413926852,1.2041199827,1.5051499783,2.0334237555,2.2253092817,2.6211762818,2.6928469193,2.4199557485,2.4502491083,2.4871383755,2.4828735836,2.5158738437,2.6294095991,2.6283889301,2.622214023,2.6711728427,2.6283889301,2.5538830266,2.3502480183,2.2671717284,2.1205739312,1.8692317197
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/05/2013,1.6232492904,1.4471580313,1.2041199827,1.079181246,1.531478917,2.0374264979,2.285557309,2.5987905068,2.6981005456,2.3820170426,2.4065401804,2.4683473304,2.4913616938,2.5820633629,2.5943925504,2.6803355134,2.6444385895,2.6776069527,2.6493348587,2.6273658566,2.4842998393,2.3404441148,2.2329961104,1.8808135923
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/06/2013,1.5440680444,1.5797835966,1.079181246,1.1461280357,1.4913616938,1.9912260757,2.2900346114,2.5705429399,2.69019608,2.4727564493,2.414973348,2.4517864355,2.5237464668,2.5105450102,2.583198774,2.5843312244,2.5921767574,2.5670263662,2.6031443726,2.5289167003,2.372912003,2.2695129442,2.0899051114,1.8808135923
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/07/2013,1.5185139399,1.414973348,1.1461280357,1.3424226808,1.4913616938,2,2.2329961104,2.5820633629,2.6627578317,2.436162647,2.3324384599,2.4199557485,2.4048337166,2.4814426285,2.1789769473,2.611723308,2.625312451,2.5611013836,2.551449998,2.5301996982,2.4393326938,2.3521825181,2.2278867046,2.0170333393
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/08/2013,1.5440680444,1.4471580313,1.2552725051,1.1461280357,1.531478917,1.9493900066,2.3053513694,2.4857214265,2.6434526765,2.4623979979,2.372912003,2.4502491083,2.53529412,2.5477747054,2.6334684556,2.7143297597,2.6637009254,2.6857417386,2.7250945211,2.5943925504,2.5453071165,2.4409090821,2.383815366,2.1875207208
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/09/2013,2.0413926852,1.8633228601,1.6627578317,1.5051499783,1.4623979979,1.6434526765,1.8633228601,2.1760912591,2.3364597338,2.4517864355,2.5965970956,2.5340261061,2.6170003411,2.622214023,2.57863921,2.6085260336,2.5185139399,2.6042260531,2.587710965,2.5263392774,2.4048337166,2.3031960574,2.2810333672,2.2405492483
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/10/2013,2.0569048513,1.8864907252,1.7634279936,1.6020599913,1.4471580313,1.4313637642,1.6812412374,1.8864907252,2.103803721,2.318063335,2.3765769571,2.5550944486,2.5820633629,2.551449998,2.4983105538,2.4727564493,2.5051499783,2.4099331233,2.3909351071,2.3443922737,2.3304137733,2.1673173347,2.0827853703,1.9294189257
1,2153,HUGUENOT AVE,WOODROW RD,STAFFORD AVE,NB,02/11/2013,1.5797835966,1.4771212547,1.1760912591,1.278753601,1.531478917,2.0492180227,2.2355284469,2.630427875,2.7007037171,2.428134794,2.4578818967,2.4955443375,2.4913616938,2.5065050324,2.6374897295,2.6364878964,2.6414741105,2.6794278966,2.6364878964,2.5622928645,2.357934847,2.2764618042,2.1335389084,1.8750612634
