int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
32315,2,1,1,1,1,2,1,1,1,1,0,1,1,3,0,0,0,1,1,0,1,0.5,0,17,6,2,0,3,4,8,S,17,0.1111111111,0.3333333333,0.2222222222,0.1666666667,1,0.5,0,0
33115,1,1,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,79,1,2,0,3,3,6,U,49,0,0,0,0.3333333333,0.0618556701,0,0,0
40215,2,1,0,2,1,2,0,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,49,1,2,0,8,4,7,U,17,0,0,0,0,0.1546391753,0,0,0
32215,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,1,0,0,0,1,0.5,0.5,30,1,1,2,6,1,4,U,29,0,0,0,0.1666666667,0.206185567,0.25,0,0
33015,1,1,0,2,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.5,0,22,6,2,0,5,2,2,R,17,0,0,0,0,0.0721649485,0.375,0.6,0.5
40315,2,1,0,1,1,2,1,0,1,1,0,0,1,2,1,1,1,0,0,1,0,0,0,99,1,2,0,3,3,99,S,34,0,0,0,0.5,0.0103092784,0.5,0,0
32315,2,0,0,2,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,67,1,2,0,8,4,6,S,16,0,0,0,0,1,0.25,0.8,0.5
32315,1,1,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,1,52,1,1,4,3,1,6,S,24,0,0.1111111111,0,0,0.0309278351,0,0.8,0.5
41115,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5,0.5,33,3,1,1,8,1,1,U,16,0,0,0,0.5,0.206185567,0.5,0.8,0.5
32315,2,1,1,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0,23,4,1,1,3,4,1,R,21,0,0,0,0.8333333333,0.0103092784,0,0,0
41215,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,22,1,1,6,5,1,5,S,29,0.1111111111,0.3333333333,0.3333333333,0.3333333333,0.0515463918,0.25,0.4,0.375
41015,1,1,1,1,1,2,1,1,1,1,0,0,1,3,1,1,0,1,0,0,1,0.5,0,43,1,1,2,6,1,9,U,27,0.5555555556,0,0,0.8333333333,0.0515463918,0.5,0,0
31715,1,0,0,2,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,1,50,3,2,0,1,2,1,S,12,0,0,0,0,0,0,0,0
32915,1,1,1,1,1,2,1,0.5,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0.5,34,1,1,2,8,1,9,S,32,0.1111111111,0.1111111111,0,0.5,0.0206185567,0,0,0
40415,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,1,0,0,0,0,0.5,0,58,1,2,0,8,1,8,S,34,0,0,0,0.1666666667,0.0515463918,0.5,0,0
40315,1,1,1,1,1,2,1,1,1,0,0,1,1,3,1,0,0,0,0,0,0,0.5,0,31,1,1,3,3,1,8,S,36,0.5555555556,0.2222222222,0.3333333333,0.3333333333,0.0309278351,0.5,0,0
40915,2,1,1,2,1,2,0,0,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,56,1,1,1,3,4,5,R,54,0,0,0.3333333333,0,0.5154639175,0.25,0,0
32315,1,1,1,1,1,2,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,25,1,2,0,3,1,9,R,48,0,0,0,0,0,0.5,0,0
32915,2,1,1,1,1,2,1,0.5,1,1,1,1,1,2,1,0,0,0,0,0,1,1,0,37,1,2,0,8,1,99,U,6,0.1111111111,0.1111111111,0.8888888889,0.1666666667,0.3608247423,0.5,0,0
40315,1,1,1,1,1,2,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0.5,58,1,2,0,3,3,3,U,29,0,0,0,0.3333333333,0.7216494845,0.25,0.2,0.375
