int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit
31516,2,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,1,47,1,1,0,8,1,9,S,39,0.3333333333,0,0,0,0.0303030303,0,0,0
31716,3,1,0,1,1,0,0.5,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,51,1,2,0,5,3,6,S,53,0,0,0,0,0.0101010101,0,0.25,0
40116,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,2,62,1,2,0,8,3,7,S,6,0.3333333333,0,0.3333333333,0.2222222222,0.1212121212,0.5,1,0
40316,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,42,2,1,0,8,1,9,U,36,0.5555555556,0,0,0.2222222222,0.5050505051,0.125,0.25,0.25
40116,1,1,1,1,2,1,1,1,1,1,0,2,3,0,0,0,0,0,0,0,1,0,1,18,6,2,0,4,1,2,S,6,0.3333333333,0.1666666667,0.6666666667,0.6666666667,0.0606060606,0,0,0
31116,4,1,1,1,8,1,1,1,0,0,0,1,3,0,0,0,1,1,0,1,1,0,1,16,6,2,0,2,4,8,R,4,0.6666666667,0.5,0,0.3333333333,0.101010101,0.125,0,0
32816,2,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0,0.5,0,1,52,3,2,0,6,1,4,S,44,0,0,0,0,0.202020202,0.375,0,0
32616,3,1,1,1,2,1,1,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,1,76,1,2,0,8,2,9,S,45,0,0,0,0.5555555556,0.0303030303,0,0,0
31716,3,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,95,5,2,0,3,3,98,S,26,0,0,0,0,0,0,0,0
40216,1,1,1,1,2,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,43,3,1,0,6,1,5,U,36,0,0,0,0.6666666667,0.1212121212,0,0,0
31616,4,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,60,1,1,0,6,1,8,R,19,0,0,0.5555555556,0.2222222222,0.1515151515,0.375,1,0
31816,3,1,1,1,2,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1,51,4,1,0,3,2,1,R,12,0,0,0.3333333333,0,0,0,0,0
31716,2,1,1,1,2,1,1,1,1,1,0,1,3,1,0,0,1,0,0,1,1,0,1,26,6,2,0,8,7,4,S,25,0.1111111111,0,0,0.1111111111,0.1515151515,0.5,0,0
33116,1,1,1,1,2,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,50,1,2,0,98,3,3,U,16,0,0,0,0.1111111111,0,0,0,0
32616,3,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,2,63,1,2,0,4,3,6,S,40,0.6666666667,0,0,0.3333333333,0.9797979798,0,0,0
31216,2,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,62,3,2,0,4,3,3,S,36,0,0,0,0,0,0.5,0,0
32916,2,1,0,1,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0.5,0,2,32,6,2,0,6,1,3,S,39,0,0,0.3333333333,0.1111111111,0.5050505051,0.25,0.5,0
32416,2,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,55,3,2,0,3,4,2,S,4,0,0,0,0.2222222222,0.0101010101,0,0,0
40116,3,1,1,1,2,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,30,4,1,1,2,1,1,S,35,0,0,0,0.1111111111,0,0,0,0
40216,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,2,45,1,2,0,6,1,6,S,6,0,0,0,0,0.101010101,0.5,1,0
