,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
1.00,0.00,0.00,0.98,0.01,0.01,0.00
2.00,0.00,0.00,0.00,0.00,0.01,0.97
3.00,0.00,0.04,0.07,0.02,0.86,0.01
4.00,0.00,0.04,0.79,0.13,0.04,0.00
5.00,0.00,0.01,0.02,0.97,0.01,0.00
6.00,0.02,0.13,0.06,0.72,0.04,0.03
7.00,0.99,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,0.99,0.00,0.01,0.00
9.00,0.94,0.01,0.00,0.01,0.01,0.03
10.00,0.01,0.52,0.11,0.14,0.10,0.11
11.00,0.00,0.01,0.02,0.00,0.96,0.00
12.00,0.02,0.62,0.05,0.08,0.14,0.09
13.00,0.00,0.00,1.00,0.00,0.00,0.00
14.00,0.00,0.86,0.09,0.02,0.04,0.00
15.00,0.00,0.05,0.40,0.49,0.05,0.01
16.00,0.00,0.70,0.04,0.02,0.23,0.02
17.00,0.00,0.00,0.00,0.00,0.00,0.99
18.00,0.00,0.01,0.02,0.00,0.97,0.00
19.00,0.13,0.22,0.04,0.06,0.11,0.44
20.00,0.00,0.01,0.01,0.00,0.97,0.00
21.00,0.99,0.00,0.00,0.00,0.00,0.00
22.00,0.00,0.02,0.03,0.01,0.93,0.00
23.00,0.00,0.00,1.00,0.00,0.00,0.00
24.00,0.01,0.10,0.20,0.06,0.48,0.16
25.00,0.40,0.01,0.01,0.01,0.02,0.54
26.00,0.26,0.10,0.03,0.05,0.06,0.50
27.00,0.00,0.00,0.98,0.00,0.01,0.00
28.00,0.00,0.05,0.33,0.57,0.04,0.01
29.00,0.00,0.00,0.99,0.00,0.01,0.00
30.00,0.00,0.06,0.47,0.03,0.43,0.01
31.00,0.99,0.00,0.00,0.00,0.00,0.00
32.00,0.70,0.03,0.01,0.01,0.02,0.23
33.00,0.00,0.03,0.85,0.09,0.03,0.00
34.00,0.03,0.02,0.01,0.01,0.02,0.91
35.00,0.25,0.16,0.04,0.06,0.08,0.41
36.00,0.00,0.90,0.05,0.02,0.02,0.00
37.00,0.00,0.00,0.98,0.00,0.01,0.00
38.00,0.00,0.00,0.99,0.00,0.01,0.00
39.00,0.00,0.01,0.02,0.00,0.96,0.00
40.00,0.00,0.00,0.99,0.00,0.01,0.00
41.00,0.00,0.09,0.53,0.08,0.24,0.06
42.00,0.00,0.01,0.97,0.01,0.01,0.00
43.00,0.00,0.04,0.50,0.02,0.44,0.00
44.00,0.00,0.00,0.99,0.00,0.00,0.00
45.00,0.99,0.00,0.00,0.00,0.00,0.00
46.00,0.00,0.00,0.00,0.00,0.00,0.99
47.00,0.02,0.05,0.07,0.05,0.08,0.73
48.00,0.06,0.19,0.06,0.52,0.08,0.09
49.00,0.00,0.00,0.98,0.00,0.01,0.00
50.00,0.00,0.00,0.00,0.00,0.00,0.99
51.00,0.99,0.00,0.00,0.00,0.00,0.00
52.00,0.99,0.00,0.00,0.00,0.00,0.00
53.00,0.00,0.00,0.98,0.00,0.01,0.00
54.00,0.00,0.83,0.02,0.01,0.12,0.01
55.00,0.00,0.01,0.01,0.00,0.97,0.00
56.00,0.01,0.13,0.36,0.08,0.26,0.16
57.00,0.03,0.02,0.01,0.01,0.02,0.91
