id,int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
66,40215,2,1,1,1,1,2,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0.5,23,6,2,0,6,2,2,S,6,0,0.2222222222,0,0.1666666667,0.0515463918,0.375,0.8,0.5,0,0,0,0.99,0.01,0
130,40215,2,1,1,1,1,1,1,0,1,1,0,1,1,3,0,1,0,1,0,0,1,0.5,0,16,6,2,0,2,4,3,U,42,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.375,0,0,0,0,0,0.99,0.01,0
63,40515,1,1,1,1,1,2,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,25,6,2,0,8,1,6,U,36,0.1111111111,0,0,0.3333333333,0.0412371134,0.5,0,0,0,0,0,0.99,0,0
163,32115,2,1,1,1,1,2,1,0.5,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,34,1,1,3,8,4,99,S,48,0,0.1111111111,0.2222222222,0.1666666667,0.0721649485,0.5,0.6,0.5,0,0,0.01,0.98,0.02,0
2,33115,1,1,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,79,1,2,0,3,3,6,U,49,0,0,0,0.3333333333,0.0618556701,0,0,0,0,0,0.01,0.98,0.01,0
4,32215,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,1,0,0,0,1,0.5,0.5,30,1,1,2,6,1,4,U,29,0,0,0,0.1666666667,0.206185567,0.25,0,0,0,0,0.01,0.98,0.01,0
8,32315,1,1,1,1,1,1,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,1,52,1,1,4,3,1,6,S,24,0,0.1111111111,0,0,0.0309278351,0,0.8,0.5,0,0,0.01,0.98,0.01,0
9,41115,1,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0.5,0.5,33,3,1,1,8,1,1,U,16,0,0,0,0.5,0.206185567,0.5,0.8,0.5,0,0,0.01,0.98,0.01,0
15,40415,1,1,1,1,1,2,1,0,1,1,0,0,1,3,0,1,1,0,0,0,0,0.5,0,58,1,2,0,8,1,8,S,34,0,0,0,0.1666666667,0.0515463918,0.5,0,0,0,0,0.01,0.98,0.01,0
24,40215,2,1,1,1,1,2,1,0.5,1,1,0,0,1,3,0,1,0,1,0,0,1,0,0,59,5,2,0,6,1,5,S,12,0,0,0,0.3333333333,0.0618556701,0.5,0,0,0,0,0.01,0.98,0.01,0
35,40415,1,1,1,1,1,1,1,0.5,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,35,1,1,4,8,1,9,S,34,0,0,0,0.5,0.0206185567,0,0,0,0,0,0.01,0.98,0.01,0
36,32315,1,1,1,1,1,2,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,1,1,30,6,2,0,5,5,9,U,12,0,0,0,0.3333333333,0.0412371134,0.5,0,0,0,0,0.01,0.98,0.01,0
41,31815,2,1,1,1,1,2,1,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,53,6,2,0,2,1,2,R,48,0,0,0,0.3333333333,0.0206185567,0.5,0,0,0,0,0.01,0.98,0.01,0
47,40415,2,1,1,1,1,2,1,0,1,1,0,1,1,3,1,1,1,0,0,0,0,0.5,0,60,5,2,0,6,1,99,U,55,0,0,0,0.1666666667,0.0309278351,0.5,0,0,0,0,0.01,0.98,0.01,0
52,31915,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0.5,41,4,2,0,4,4,1,S,39,0,0,0,0.3333333333,0.0309278351,0.125,0.2,0.25,0,0,0.01,0.98,0.01,0
54,40615,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.5,0.5,19,6,2,0,3,4,3,S,12,0,0,0,0.3333333333,0.3092783505,0.25,0.6,0.5,0,0,0.01,0.98,0.01,0
91,33015,1,1,1,1,1,2,1,0.5,1,1,0,1,2,2,0,0,0,0,0,0,0,1,0.5,16,6,2,0,2,2,1,U,6,0,0,0,0.3333333333,0.1546391753,0,0,0,0,0,0.01,0.98,0.01,0
98,33115,2,1,1,1,1,2,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,39,4,2,0,5,1,4,U,50,0.1111111111,0.1111111111,0,0.1666666667,0.0515463918,0.125,0.2,0.125,0,0,0.01,0.98,0.01,0
