id,int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,age_group,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,estado,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
1,31516,2,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,1,47,Mediana_edad,1,1,0,8,1,9,S,39,Rhode Island,0.3333333333,0,0,0,0.0303030303,0,0,0,0,0,0.98,0.01,0.01,0
2,31716,3,1,0,1,1,0,0.5,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,51,Mediana_edad,1,2,0,5,3,6,S,53,Wyoming,0,0,0,0,0.0101010101,0,0.25,0,0,0,0,0,0.01,0.97
3,40116,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,2,62,Ciudadano_de_oro,1,2,0,8,3,7,S,6,Colorado,0.3333333333,0,0.3333333333,0.2222222222,0.1212121212,0.5,1,0,0,0.04,0.07,0.02,0.86,0.01
4,40316,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,42,Adulto,2,1,0,8,1,9,U,36,Oklahoma,0.5555555556,0,0,0.2222222222,0.5050505051,0.125,0.25,0.25,0,0.04,0.79,0.13,0.04,0
5,40116,1,1,1,1,2,1,1,1,1,1,0,2,3,0,0,0,0,0,0,0,1,0,1,18,Joven_adulto,6,2,0,4,1,2,S,6,Colorado,0.3333333333,0.1666666667,0.6666666667,0.6666666667,0.0606060606,0,0,0,0,0.01,0.02,0.97,0.01,0
6,31116,4,1,1,1,8,1,1,1,0,0,0,1,3,0,0,0,1,1,0,1,1,0,1,16,Joven_adulto,6,2,0,2,4,8,R,4,Arkansas,0.6666666667,0.5,0,0.3333333333,0.101010101,0.125,0,0,0.02,0.13,0.06,0.72,0.04,0.03
7,32816,2,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0,0.5,0,1,52,Mediana_edad,3,2,0,6,1,4,S,44,Utah,0,0,0,0,0.202020202,0.375,0,0,0.99,0,0,0,0,0
8,32616,3,1,1,1,2,1,1,1,1,0,1,2,2,1,0,0,0,0,0,0,1,0,1,76,Ciudadano_de_oro,1,2,0,8,2,9,S,45,Vermont,0,0,0,0.5555555556,0.0303030303,0,0,0,0,0,0.99,0,0.01,0
9,31716,3,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,95,Ciudadano_de_oro,5,2,0,3,3,98,S,26,Montana,0,0,0,0,0,0,0,0,0.94,0.01,0,0.01,0.01,0.03
10,40216,1,1,1,1,2,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,43,Adulto,3,1,0,6,1,5,U,36,Oklahoma,0,0,0,0.6666666667,0.1212121212,0,0,0,0.01,0.52,0.11,0.14,0.1,0.11
11,31616,4,1,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,60,Ciudadano_de_oro,1,1,0,6,1,8,R,19,Maine,0,0,0.5555555556,0.2222222222,0.1515151515,0.375,1,0,0,0.01,0.02,0,0.96,0
12,31816,3,1,1,1,2,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1,51,Mediana_edad,4,1,0,3,2,1,R,12,Idaho,0,0,0.3333333333,0,0,0,0,0,0.02,0.62,0.05,0.08,0.14,0.09
13,31716,2,1,1,1,2,1,1,1,1,1,0,1,3,1,0,0,1,0,0,1,1,0,1,26,Adulto,6,2,0,8,7,4,S,25,Missouri,0.1111111111,0,0,0.1111111111,0.1515151515,0.5,0,0,0,0,1,0,0,0
14,33116,1,1,1,1,2,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,50,Mediana_edad,1,2,0,98,3,3,U,16,Kansas,0,0,0,0.1111111111,0,0,0,0,0,0.86,0.09,0.02,0.04,0
15,32616,3,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,2,63,Ciudadano_de_oro,1,2,0,4,3,6,S,40,South Carolina,0.6666666667,0,0,0.3333333333,0.9797979798,0,0,0,0,0.05,0.4,0.49,0.05,0.01
16,31216,2,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,62,Ciudadano_de_oro,3,2,0,4,3,3,S,36,Oklahoma,0,0,0,0,0,0.5,0,0,0,0.7,0.04,0.02,0.23,0.02
17,32916,2,1,0,1,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0.5,0,2,32,Adulto,6,2,0,6,1,3,S,39,Rhode Island,0,0,0.3333333333,0.1111111111,0.5050505051,0.25,0.5,0,0,0,0,0,0,0.99
18,32416,2,1,1,1,2,1,0,1,1,0,0,2,3,1,0,0,0,0,0,0,0.5,0,2,55,Mediana_edad,3,2,0,3,4,2,S,4,Arkansas,0,0,0,0.2222222222,0.0101010101,0,0,0,0,0.01,0.02,0,0.97,0
19,40116,3,1,1,1,2,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,30,Adulto,4,1,1,2,1,1,S,35,Ohio,0,0,0,0.1111111111,0,0,0,0,0.13,0.22,0.04,0.06,0.11,0.44
20,40216,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0.5,0,2,45,Mediana_edad,1,2,0,6,1,6,S,6,Colorado,0,0,0,0,0.101010101,0.5,1,0,0,0.01,0.01,0,0.97,0
21,31016,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,84,Ciudadano_de_oro,5,2,0,3,3,99,R,51,Wyoming,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
22,30716,4,1,1,1,2,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0.5,2,26,Adulto,1,2,0,6,4,98,S,40,South Carolina,0,0.1666666667,0.5555555556,0.1111111111,0.0404040404,0.5,1,0,0,0.02,0.03,0.01,0.93,0
23,40316,2,1,1,1,2,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0.5,1,52,Mediana_edad,1,1,0,6,1,9,S,51,Wyoming,0.1111111111,0,0,0.3333333333,0.9797979798,0,0,0,0,0,1,0,0,0
24,33016,1,1,1,1,2,0,0.5,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,2,57,Mediana_edad,3,2,0,4,8,2,U,6,Colorado,0,0,0.3333333333,0.2222222222,0.9797979798,0.375,0.75,1,0.01,0.1,0.2,0.06,0.48,0.16
25,31016,2,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,87,Ciudadano_de_oro,1,2,0,8,3,3,S,12,Idaho,0,0,0,0,0.0909090909,0,0,0,0.4,0.01,0.01,0.01,0.02,0.54
26,33016,1,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0.5,0,1,47,Mediana_edad,1,2,0,4,5,2,U,4,Arkansas,0,0,0,0,0,0,0,0,0.26,0.1,0.03,0.05,0.06,0.5
27,40216,2,1,1,1,2,1,1,1,1,0,0,1,3,1,1,0,1,0,0,0,0.5,0,1,62,Ciudadano_de_oro,1,2,0,6,1,9,U,6,Colorado,0,0,0,0,0.1515151515,0.5,0,0,0,0,0.98,0,0.01,0
28,31316,3,1,1,1,2,1,1,1,1,0,0,2,3,1,0,0,0,0,0,0,1,0,1,42,Adulto,1,1,0,6,1,8,S,53,Wyoming,0.3333333333,0.1666666667,0.5555555556,0.1111111111,0.0101010101,0,0,0,0,0.05,0.33,0.57,0.04,0.01
29,40216,2,1,1,1,2,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0.5,0,1,67,Ciudadano_de_oro,1,2,0,6,1,7,S,12,Idaho,0,0,0,0.2222222222,0.0505050505,0,0,0,0,0,0.99,0,0.01,0
30,40216,3,1,1,1,4,1,0.5,1,1,0,0,3,2,0,0,0,0,0,0,0,0.5,0.5,1,60,Ciudadano_de_oro,1,2,0,3,1,5,U,19,Maine,0,0,0,0.6666666667,0.0202020202,0,0,0,0,0.06,0.47,0.03,0.43,0.01
31,32816,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,1,48,Mediana_edad,3,2,0,3,2,2,R,18,Louisiana,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
32,40216,1,1,0,1,2,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,76,Ciudadano_de_oro,1,2,0,4,3,7,S,17,Kentucky,0,0,0,0,0.5050505051,0.5,0,0,0.7,0.03,0.01,0.01,0.02,0.23
33,40116,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,2,39,Adulto,1,1,0,6,1,5,U,39,Rhode Island,0.3333333333,0.3333333333,0,0.2222222222,0.101010101,0.375,0.25,0.75,0,0.03,0.85,0.09,0.03,0
