,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_laboral,ingreso_por_persona,sexo,estado_conyugal,ocupacion_trabajo,mantiene_familia,calidad_vivienda
1,1,1,41 - 50,7,3,0.7,0.0,1.0,1,1,5,0.75,0.0
2,1,1,31 - 40,7,5,0.7,0.0,0.0,1,2,1,0.0,0.0
4,1,1,26 - 30,7,3,0.0,0.0,0.8,2,4,2,0.0,0.0
5,1,1,61 - 70,1,3,0.7,0.0,0.8,1,2,5,0.75,0.0
7,1,1,31 - 40,6,6,0.0,0.0,1.0,2,1,4,0.3,0.0
8,1,1,41 - 50,6,6,0.0,0.0,0.8,1,1,3,0.75,0.0
9,1,1,31 - 40,5,5,0.7,0.0,0.2,2,4,5,0.0,0.0
10,1,1,18 - 25,5,5,0.0,0.0,1.0,1,6,0,1.0,0.3
13,1,1,18 - 25,3,3,0.7,0.0,0.8,1,6,0,0.75,0.3
14,1,1,26 - 30,2,3,0.7,0.0,0.8,2,6,9,0.0,0.0
15,1,1,31 - 40,4,4,0.0,0.0,0.0,1,2,2,0.0,0.0
16,1,1,26 - 30,4,4,0.7,0.0,0.8,2,2,5,0.0,0.0
17,1,1,31 - 40,1,6,1.0,0.0,0.8,1,2,9,0.75,0.0
18,1,1,26 - 30,1,6,1.0,0.0,1.0,2,2,9,0.0,0.0
19,1,1,18 - 25,1,2,0.7,0.0,0.8,1,2,8,0.75,0.0
20,1,1,61 - 70,1,6,0.7,0.7,1.0,1,3,0,1.0,0.3
21,1,1,41 - 50,4,4,0.7,0.0,0.8,2,4,5,0.75,0.0
22,1,1,41 - 50,1,6,0.7,0.0,1.0,2,3,5,1.0,0.0
23,1,1,41 - 50,2,2,0.7,0.0,0.8,2,6,7,0.75,0.9
25,1,2,26 - 30,4,4,0.7,0.0,1.0,1,1,9,1.0,0.0
26,1,2,31 - 40,4,4,0.7,0.0,0.8,1,4,7,0.0,0.0
27,1,1,26 - 30,5,5,0.0,0.0,0.2,1,1,2,0.0,0.0
30,1,2,31 - 40,7,4,0.7,0.0,0.8,1,2,7,0.75,0.0
33,1,2,18 - 25,5,5,0.7,0.0,1.0,1,6,0,0.75,0.3
34,1,2,18 - 25,1,4,0.7,0.0,0.8,1,6,5,0.3,0.9
36,1,2,18 - 25,3,3,0.7,0.0,1.0,1,6,5,0.75,0.0
37,1,2,31 - 40,3,3,0.7,0.0,0.8,1,2,7,0.3,0.9
39,1,2,41 - 50,7,2,0.7,0.0,1.0,1,2,3,0.75,0.0
40,1,2,41 - 50,6,2,1.0,0.0,1.0,2,2,0,0.0,0.0
41,1,2,18 - 25,7,2,0.7,0.0,1.0,2,6,9,0.0,0.0
43,1,2,51 - 60,3,6,0.7,0.0,1.0,2,4,9,1.0,0.9
45,1,2,51 - 60,1,2,0.7,0.0,0.8,1,1,8,0.75,0.0
47,1,2,41 - 50,6,6,0.0,0.0,0.8,1,2,9,0.75,0.0
48,1,2,41 - 50,7,6,0.7,0.0,0.8,1,1,9,0.75,0.9
51,1,2,26 - 30,6,6,0.7,0.0,0.8,1,6,9,0.75,0.0
52,1,2,18 - 25,6,6,0.7,0.0,0.8,1,6,0,0.0,0.3
53,1,2,41 - 50,2,6,0.7,0.0,1.0,1,2,7,1.0,0.0
55,1,2,51 - 60,1,5,0.7,0.0,1.0,1,2,0,0.0,0.3
56,1,2,61 - 70,1,5,0.0,0.7,0.8,2,2,0,0.3,0.3
