psraid,sample,int_date,lang,form,sex,q1,live1,reg,oftvote,q2a,q2b,eminuse,intmob,snsint,home3nw,bbhome1,device1a,smart1,device1b,device1c,device1d,device1e,device1f,device1g,act112,act124,act125,act135,act126,act136,act123,act122,act137,act127,act128,sns2a,sns2b,sns2c,sns2d,sns2e,sns2f,sns2g,books1,books2a,books2b,books2c,libusea,libuseb,lib_frq,libst_frq,libapp_frq,libmob,ebk_awr,ebk_brw,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,q11j,q12,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q14,q15,q16a,q16b,q16c,q16d,q16e,q16f,q16g,q16h,q17a,q17b,q18a,q18b,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q19h,q19i,q19j,q20a,q20b,q20c,q20d,q20e,q20f,q21,q22,q23,q24a,q24b,q24c,q24d,q24e,q24f,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,emplnw,stud,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,usr,cregion,state,density,weight,standwt
100006,1,31715,1,1,1,3,3,1,1,1,2,1,1,1,1,2,1,1,2,2,1, , , ,2,2,2,1,1, , , , , , , , , , ,2, , ,24,1,1,1,1,1,3,4,4,1,8, ,1,1,1,2,2,2, , , , ,1,1,1,1,2, , , , ,2,3,1,1,2,2, , , , ,1,2,1,1,1,2,2,1,1, , , , , ,2,2,1, , , ,3,3,1,2,2,2, , , ,22,6,4,2, , , ,4,2,2,2,2,2, ,5,1,1,6,8, , ,48162,U,2,26,2,1.8,.645793089125963
100009,1,31715,1,2,1,1,4,1,1,2,2,1,1,1,1,2,1,1, , , ,2,1,2, , , , , ,2,2,2,2,2,2, , , , , , , ,80,1,2,1,2,2, , , , ,1,1, , , , , , , , , , ,2, , , , , , , , ,1,5, , , , , , , , ,1,8,3,1, , , , , ,2,1,1,3,1, , , ,1,2,8,1,8,2, , , ,2,2,2,70,1,3,2, , , ,6,3,3, ,2,9,9,9,9, ,9,99, , ,21793,S,3,24,3,2,.717547876806626
100013,1,31715,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1, , , ,2,1,1, , , , , ,1,2,1,2,2,2, , , ,3, , ,6,20,1,2,1,1,3,4, , , ,8, ,1,2,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,8,2,2, , , , , ,3,2,2,2,2, , , ,3,3,1,3,9,2, , , ,2,2,2,72,1,2,2, , , ,8,3,3, ,2,3,1,2,2, ,1,9, , ,07762,S,1,34,4,1.6,.574038301445301
100020,1,31715,1,2,2,1,4,1,3,2,2,1,1,1,1,2,1,1, , , ,1,2,1, , , , , ,2,2,2,2,2,2, , , , , , , ,97,2,2,1,1,3,4, , , ,1,2,1,2,2, , , ,2,2,2,2,1, , , , ,2,2,2,2,2,4, , , , , , , , ,1,1,2,1, , , , , ,2,1,2,1,2, , , ,1,1,1,8,8,2, , , ,2,2,2,47,1,3,2, , , ,3,2,3, ,1,8,8,8,2, ,1,5, , ,14830,R,1,36,1,4.45714285714286,1.59910669688334
100021,1,31715,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1, , , ,2,2,2,1,2, , , , , , , , , , ,1, , ,6,1,2,2,1,1,4,4,4,2,1,2,1,2,2,2,2,2, , , , ,2, , , , , , , , ,2, ,1,1,1,1, , , , ,1,1,1,1,1,2,1,1,2, , , , , ,8,2,8, , , ,8,8,2,2,2,2, , , ,43,1,2,1,1,0,1,5,1,3, ,2,3,2,4,2, ,4,4, , ,60660,U,2,17,5,3.62857142857143,1.30183686220631
100030,1,31715,1,2,2,1,3,2, ,2,8,1,1,1,1,2,1,1, , , ,1,1,2, , , , , ,2,1,2,2,1,2, , , , , ,1, ,8,1,1,1,1,1,2,3,4,1,1,2,1,1,1, , , ,2,2,2,2,1, , , , ,2,2,2,2,2,4, , , , ,1,2,1,1,1,2,1,1, , , , , ,1,1,1,2,1, , , ,3,3,2,2,3,2, , , ,2,2,2,17,6,2,2, , , ,2,4,1,1,2,2, ,5,2, ,1,8, , ,01754,S,1,25,4,2.22857142857143,.799553348441668
100035,1,32315,1,2,2,2,4,1,2,8,2,2,2,2, , ,1,1, , , ,2,2,2, , , , , , , , , , , , , , , , , , ,0, , , ,2,2, , , , ,8, , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,8,1,3,3, , , , , ,3,8,8,1,8, , , ,2,2,2, , ,2, , , ,2,2,2,79,5,1,2, , , ,1,3,3, ,1,2, ,4,2, ,2,2, , ,07712,S,1,34,4,1.54285714285714,.55353693353654
100038,1,41215,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,1, , , ,2,2,1,2,2, , , , , , , , ,5, , , , ,2,1,2,2,2,3, , , , ,1,2, , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,3,3,2,1,2,1,2,2, , , , , ,2,2,2, , , ,2,3,2,2,2,2, , , ,65,1,2,2, , , ,8,3,3, ,2,1, ,3,2, ,1,6, , ,55304,S,2,27,3,1.45714285714286,.522784881673399
100042,1,31715,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1, , , ,1,1,2, , , , , ,1,2,2,2,2,2, , , ,3, , , ,10,1,2,1,3,3, , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,1, , , , , ,2,2,1,2,2, , , ,2,2,1,1,2,2, , , , , , ,81,1,5,2, , , ,8,3,3, ,1,9,9,9,2, ,9,99, , ,78745,U,3,48,4,1.88571428571429,.676545140989104
100043,1,31715,1,2,2,1,1,1,3,2,2,1,1,1,1,2,1,1, , , ,1,1,1, , , , , ,1,2,1,2,1,1, , , ,3, , ,2,2,1,2,2,1,1,1,1,9,2,1,2,1,2,1, , , ,1,1,2,1,1, , , , ,2,2,1,2,2,4, , , , ,2,2,1,1,1,1,1,1, , , , , ,1,1,2,1,1, , , ,1,3,1,2,1,1, , , ,2,2,2,31,4,1,1,1,1,0,3,2,3, ,2,3,2,2,2, ,1,2, , ,63701,U,2,29,2,2.08571428571429,.748299928669767
100048,1,31715,1,2,2,2,3,1,1,2,1,1,1,2,1,2,1,1, , , ,1,2,2, , , , , ,2,2,1,2,1,2, , , , , , ,3,50,1,2,2,1,3,3, , , ,8, ,1,2,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,1,1, , , , , ,1,1,1,1,1, , , ,1,2,1,8,5,2, , , ,2,2,2,61,1,2,2, , , ,6,4,3, ,2,3,1,3,2, ,1,99, , ,77706,U,3,48,2,1.2,.430528726083975
100053,1,41215,1,1,1,2,3,1,4,1,2,1,1,1,1,1,1,1,2,1,1, , , ,1,1,1,1,1, , , , , , ,1,3,3, ,2, , ,5,1,2,2,1,1,2,2,3,1,1,2,1,1,1,1,1,1, , , , ,1,1,1,2,1, , , , ,2,4,1,1,1,1, , , , ,1,2,1,1,1,1,1,1,1, , , , , ,1,1,1, , , ,1,1,1,2,1,1, , , ,22,1,6,1,2,4,5,5,1,1,4,2,3,2,3,2, ,1,5, , ,64701,S,2,29,2,2.54285714285714,.912310871939853
100054,1,31715,1,2,1,1,4,1,1,1,1,1,1,1,1,2,1,1, , , ,2,1,2, , , , , ,2,2,2,2,2,2, , , , , , , ,8,1,2,2,1,3,3, , , ,8, ,1,2,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,2,2, , , , , ,1,1,2,1,1, , , ,2,1,2,1,1,2, , , ,2,2,2,50,1,2,2, , , ,4,1,3, ,2,1, ,1,2, ,1,5, , ,60913,S,2,17,2,3,1.07632181520994
100055,1,31715,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1, , , ,1,1,1,1,1, , , , , , ,6,6,6, ,2, , ,3,1,2,2,1,3,4, , , ,1,2,1,2,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , , , ,1,1,1,1,1,2,1,1,1, , , , , ,1,1,8, , , ,2,2,2,2,2,2, , , ,45,1,2,1,0,0,1,6,4,3, ,1,2, ,5,2, ,2,8, , ,38125,S,3,47,4,1.77142857142857,.635542405171583
100063,1,41115,1,1,2,1,4,1,1,2,2,1,1,2,1,2,1,8,2,2,1, , , ,2,2,2,2,1, , , , , , , , , , , , , ,9,1,2,2,3,3, , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,1,1,1,1,1,3, , , , , ,8,2,8, , , ,1,4,2, , , , , , ,65,1,2,2, , , ,6,3,3, ,2,1, ,2,2, ,1,7, , ,83686,S,4,16,2,1,.358773938403313
100069,1,31715,1,2,2,2,3,1,2,2,2,1,1,1,1,2,1,2, , , ,2,2,2, , , , , ,2,2,2,2,2,2, , , , , , , ,3,1,2,2,1,3,2, , , ,2, ,1,1,2, , , ,2,2,2,2,2, , , , , , , , ,2, , , , , , , , , ,1,2,1,1, , , , , ,2,1,1,1,1, , , ,1,2,1,1,2,2, , , ,2,2,2,84,1,3,2, , , ,8,3,3, ,2,1, ,2,2, ,1,4, , ,54165,S,2,55,2,1.05714285714286,.379275306312074
100074,1,31715,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1, , , ,2,2,2,2,1, , , , , , , , , , , , , ,4,1,2,2,1,1,3,4,4,2,1,2,1,1,2,2,2,2, , , , ,2, , , , , , , , ,2, ,2,2,2,1, , , , ,1,1,2,2,1,3,2,1,1, , , , , ,8,1,1, , , ,3,5,2,2,2,2, , , ,59,3,1,1,0,0,1,5,1,3, ,2,9,9,9,2, ,2,99, , ,30127,S,3,13,4,1.8,.645793089125963
