int_date,sex,eminuse,intmob,snsint,home3nw,bbhome1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,age,marital,parent,Kidage_17,educ2,emplnw,inc,usr,state,density,weight,standwt
41215,2,1,1,1,1,2,1,2,1,2,1,1,1,0,3,6,0,3,5,1,2,1,1,3,4,0,0,1,1,1,1,2,1,2,2,1,26,1,1,2,6,4,6,S,8,2,2.8285714286,1.0148177115
41215,2,2,1,2,2,0,1,3,2,2,2,1,2,0,0,5,0,0,0,0,0,0,1,3,3,0,0,8,2,2,2,2,2,2,3,2,38,6,2,0,2,4,3,R,16,1,5.5714285714,1.9988833711
41215,1,1,1,1,1,2,1,2,1,2,2,2,1,0,0,0,0,1,6,1,2,2,2,2,0,0,0,1,0,0,0,0,0,2,3,2,39,3,1,3,6,1,5,S,12,3,4.8571428571,1.7426162722
41215,1,1,2,2,1,2,1,2,1,2,2,2,2,0,0,0,0,0,10,1,1,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,58,1,2,0,3,1,9,S,6,3,1.5142857143,0.5432862496
41215,1,1,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,3,12,2,1,2,1,3,2,0,0,8,2,2,2,2,2,2,1,1,53,1,2,0,3,1,7,S,13,3,4.1428571429,1.4863491734
41215,2,2,2,2,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,2,3,73,1,2,0,3,3,2,U,48,3,3.6285714286,1.3018368622
41215,1,1,2,2,1,8,2,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,8,60,1,2,0,3,1,98,S,36,3,3.0571428571,1.0968231831
41215,1,1,1,1,1,2,1,2,1,1,1,1,1,3,5,3,0,2,50,1,2,1,1,1,4,3,3,1,1,1,2,2,2,2,1,1,48,3,2,0,8,1,9,U,31,4,1.2285714286,0.44077941
41215,2,1,1,2,1,1,1,2,1,2,2,2,2,0,0,0,0,0,2,1,2,2,3,3,0,0,0,2,0,0,0,0,0,0,1,1,43,1,1,2,3,1,7,S,31,1,1.9714285714,0.7072971929
41215,1,2,2,1,2,0,8,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,1,1,65,1,2,0,3,3,98,R,21,1,2.4571428571,0.8815588201
