int_date,live1,reg,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,Twitter,Instagram,Pinterest,Facebook,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_LinkedIn,Freq_Facebook,amount_books_read,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,marital,par,kidage1,educ2,emplnw,inc,usr,state,weight,standwt
31016,2,1,1,1,1,2,1,1,1,2,2,1,1,0,0,5,0,1,10,1,1,1,1,1,3,2,3,1,1,2,2,1,2,2,1,1,2,34,1,1,0,4,2,6,U,51,6.9375,2.2878778048
31016,4,3,1,1,1,2,8,2,1,2,1,2,1,0,3,0,0,2,7,2,2,2,1,3,3,0,0,1,1,1,1,1,2,1,3,3,2,49,5,1,0,5,6,3,R,51,2.03125,0.669874132
31216,1,3,1,1,1,2,1,3,1,2,2,2,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,1,1,34,1,1,1,3,1,4,U,51,3.34375,1.1027158789
31216,2,1,1,1,1,2,1,2,1,2,2,1,1,0,0,2,0,2,12,1,2,1,1,1,3,3,3,8,1,1,2,2,2,1,1,1,2,69,1,2,0,8,3,7,S,42,1.21875,0.4019244792
30716,3,1,1,1,1,2,1,1,1,2,2,2,2,0,0,0,0,0,10,1,2,1,1,1,4,4,0,2,1,2,2,2,2,2,1,1,1,35,1,1,2,3,1,5,U,26,3.28125,1.0821043671
31016,3,3,2,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,3,3,2,50,3,2,0,2,2,1,U,9,6.9375,2.2878778048
31016,2,1,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,9,1,2,2,2,3,0,0,0,8,0,0,0,0,0,2,3,2,1,87,1,2,0,8,3,3,S,12,6.1875,2.0405396637
30716,4,1,1,1,1,2,1,2,1,2,2,1,1,0,0,3,5,1,7,1,2,1,1,3,4,0,0,1,1,2,1,2,2,2,1,1,2,59,1,1,0,8,1,6,S,23,1.4375,0.4740647704
30716,2,1,1,2,1,2,2,2,1,2,2,1,1,0,0,3,0,2,75,1,2,1,1,1,3,2,0,1,1,2,2,2,2,1,1,1,2,48,1,2,0,6,1,5,S,39,1.875,0.6183453526
32616,3,1,2,2,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,3,2,1,92,5,2,0,4,3,3,S,39,1.46875,0.4843705262
30716,3,1,1,1,1,2,1,3,1,2,1,1,1,0,1,3,0,1,0,0,0,0,1,3,4,0,0,1,2,2,1,2,2,2,2,1,2,18,2,2,0,3,4,3,U,12,4.75,1.5664748934
30716,2,1,1,2,1,2,1,3,1,2,2,1,1,0,0,5,0,1,0,0,0,0,2,3,0,0,0,8,0,0,0,0,0,2,3,2,1,67,3,2,0,4,3,6,S,9,2.59375,0.8553777378
