@relation migracion_datos_clustered

@attribute Instance_number numeric
@attribute region_actual {1,2,3,4,5,6}
@attribute region_anterior {1,2,3,4,5,6}
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,1,5,7,1,cluster2
1,1,2,6,1,cluster1
2,1,2,3,1,cluster1
3,1,2,4,1,cluster1
4,1,4,2,1,cluster5
5,1,5,2,1,cluster2
6,1,3,3,1,cluster5
7,1,4,7,1,cluster2
8,1,6,7,1,cluster2
9,1,2,4,1,cluster1
10,1,4,2,1,cluster5
11,1,3,4,1,cluster5
12,1,2,8,1,cluster0
13,1,4,2,1,cluster5
14,1,4,4,1,cluster2
15,1,6,1,1,cluster2
16,1,4,4,1,cluster2
17,1,5,4,1,cluster2
18,1,5,3,1,cluster2
19,1,2,3,1,cluster1
20,1,3,3,1,cluster5
21,1,3,7,1,cluster2
22,1,6,2,1,cluster2
23,1,6,4,1,cluster2
24,1,6,1,1,cluster2
25,1,2,2,1,cluster1
26,1,4,2,1,cluster5
27,1,6,7,1,cluster2
28,1,6,2,1,cluster2
29,1,6,2,1,cluster2
30,1,4,6,1,cluster2
31,1,5,1,1,cluster5
32,1,4,8,1,cluster2
33,1,4,3,1,cluster5
34,1,5,4,1,cluster2
35,1,4,7,1,cluster2
36,1,4,7,1,cluster2
37,1,3,2,1,cluster1
38,1,2,2,1,cluster1
39,1,4,3,1,cluster5
40,1,5,3,1,cluster2
41,1,6,2,1,cluster2
42,1,5,3,1,cluster2
43,1,6,4,1,cluster2
44,2,5,0,1,cluster5
45,2,1,7,1,cluster0
46,2,1,2,1,cluster1
47,2,1,3,1,cluster1
48,2,1,7,1,cluster0
49,2,6,3,1,cluster2
50,2,1,2,1,cluster1
51,2,1,0,1,cluster1
52,2,3,4,1,cluster5
53,2,1,7,1,cluster0
54,2,1,4,1,cluster1
55,3,1,2,1,cluster1
56,3,1,1,1,cluster4
57,3,1,2,1,cluster1
58,3,1,7,1,cluster0
59,3,2,7,1,cluster0
60,3,2,2,1,cluster1
61,3,2,2,1,cluster1
62,3,1,4,1,cluster0
63,3,6,3,1,cluster5
64,3,5,2,1,cluster5
65,3,1,7,1,cluster0
66,3,1,2,1,cluster1
67,3,4,2,1,cluster5
68,3,1,4,1,cluster0
69,3,6,1,1,cluster5
70,3,6,2,1,cluster5
71,3,1,7,1,cluster0
72,3,1,3,1,cluster1
73,3,1,2,1,cluster1
74,3,1,2,1,cluster1
75,3,1,2,1,cluster1
76,3,4,2,1,cluster5
77,3,4,1,1,cluster5
78,3,4,6,1,cluster0
79,4,1,4,1,cluster0
80,4,3,7,1,cluster0
81,4,1,3,1,cluster4
82,4,1,3,1,cluster4
83,4,1,2,1,cluster4
84,4,1,2,1,cluster4
85,4,1,3,1,cluster4
86,4,3,6,1,cluster0
87,4,6,2,1,cluster5
88,4,3,2,1,cluster4
89,4,1,2,1,cluster4
90,4,1,1,1,cluster4
91,5,1,2,1,cluster3
92,5,6,2,1,cluster5
93,5,1,1,1,cluster3
94,5,3,1,1,cluster3
95,5,3,1,1,cluster3
96,5,2,3,1,cluster3
97,5,4,7,1,cluster0
98,5,4,1,1,cluster3
99,5,1,2,1,cluster3
100,5,1,3,1,cluster3
101,5,4,7,1,cluster0
102,5,1,3,1,cluster3
103,5,4,2,1,cluster3
104,5,2,4,1,cluster0
105,5,2,4,1,cluster0
106,6,1,2,1,cluster3
107,6,3,2,1,cluster3
108,6,1,7,1,cluster0
109,6,1,7,1,cluster0
110,6,1,7,1,cluster0
111,6,1,2,1,cluster3
112,6,1,2,1,cluster3
113,6,1,6,1,cluster0
114,6,5,2,1,cluster3
115,6,1,2,1,cluster3
116,6,3,2,1,cluster3
117,6,1,1,1,cluster3
118,6,1,1,1,cluster3
119,6,1,2,1,cluster3
120,6,2,7,1,cluster0
121,6,2,1,1,cluster3
122,6,2,5,1,cluster0
123,6,3,1,1,cluster3
124,6,5,4,1,cluster0
125,1,6,4,2,cluster2
126,1,4,4,2,cluster2
127,1,6,4,2,cluster2
128,1,5,1,2,cluster5
129,1,5,1,2,cluster5
130,1,6,2,2,cluster2
131,1,6,1,2,cluster2
132,1,2,1,2,cluster1
133,1,4,3,2,cluster5
134,1,4,3,2,cluster5
135,1,5,2,2,cluster2
136,1,2,3,2,cluster1
137,1,6,7,2,cluster2
138,1,4,6,2,cluster2
139,1,5,1,2,cluster5
140,1,4,3,2,cluster5
141,1,4,7,2,cluster2
142,1,4,4,2,cluster2
143,1,2,6,2,cluster1
144,1,6,3,2,cluster2
145,1,6,1,2,cluster2
146,1,5,2,2,cluster2
147,1,5,3,2,cluster2
148,1,6,4,2,cluster2
149,1,5,3,2,cluster2
150,1,4,7,2,cluster2
151,1,2,2,2,cluster1
152,1,2,4,2,cluster1
153,1,2,2,2,cluster1
154,1,6,1,2,cluster2
155,1,6,7,2,cluster2
156,1,6,4,2,cluster2
157,1,2,7,2,cluster0
158,1,4,2,2,cluster5
159,1,6,2,2,cluster2
160,1,2,3,2,cluster1
161,1,3,3,2,cluster5
162,1,6,2,2,cluster2
163,1,6,2,2,cluster2
164,1,5,3,2,cluster2
165,1,2,1,2,cluster1
166,1,5,4,2,cluster2
167,1,3,7,2,cluster2
168,1,4,7,2,cluster2
169,1,4,4,2,cluster2
170,1,4,4,2,cluster2
171,1,6,1,2,cluster2
172,1,5,2,2,cluster2
173,1,6,2,2,cluster2
174,1,6,7,2,cluster2
175,1,3,6,2,cluster2
176,1,2,7,2,cluster0
177,1,4,3,2,cluster5
178,1,6,0,2,cluster2
179,1,6,2,2,cluster2
180,1,6,1,2,cluster2
181,1,5,1,2,cluster5
182,2,1,4,2,cluster1
183,2,1,1,2,cluster1
184,2,1,5,2,cluster1
185,2,1,3,2,cluster1
186,2,1,3,2,cluster1
187,2,1,3,2,cluster1
188,2,6,2,2,cluster2
189,2,6,3,2,cluster2
190,2,1,3,2,cluster1
191,2,1,3,2,cluster1
192,2,1,2,2,cluster1
193,2,3,4,2,cluster5
194,2,5,3,2,cluster5
195,2,1,3,2,cluster1
196,2,4,7,2,cluster2
197,2,1,4,2,cluster1
198,3,5,5,2,cluster5
199,3,1,2,2,cluster1
200,3,1,1,2,cluster4
201,3,1,3,2,cluster1
202,3,1,4,2,cluster0
203,3,1,5,2,cluster0
204,3,2,4,2,cluster0
205,3,1,1,2,cluster4
206,3,1,1,2,cluster4
207,3,1,8,2,cluster0
208,3,1,4,2,cluster0
209,3,1,2,2,cluster1
210,3,5,3,2,cluster5
211,3,5,2,2,cluster5
212,3,1,2,2,cluster1
213,3,1,4,2,cluster0
214,3,4,3,2,cluster5
215,3,1,0,2,cluster4
216,3,4,7,2,cluster0
217,3,6,2,2,cluster5
218,3,6,1,2,cluster5
219,3,1,3,2,cluster1
220,3,1,2,2,cluster1
221,3,1,1,2,cluster4
222,3,2,2,2,cluster1
223,3,1,3,2,cluster1
224,3,4,3,2,cluster5
225,4,1,7,2,cluster0
226,4,1,3,2,cluster4
227,4,3,4,2,cluster0
228,4,1,2,2,cluster4
229,4,1,3,2,cluster4
230,4,1,2,2,cluster4
231,4,1,3,2,cluster4
232,4,3,3,2,cluster0
233,4,3,4,2,cluster0
234,4,1,3,2,cluster4
235,4,1,2,2,cluster4
236,4,1,1,2,cluster4
237,5,1,3,2,cluster4
238,5,1,2,2,cluster4
239,5,1,1,2,cluster4
240,5,1,2,2,cluster4
241,5,1,1,2,cluster4
242,5,1,1,2,cluster4
243,5,1,1,2,cluster4
244,5,1,1,2,cluster4
245,5,1,2,2,cluster4
246,5,3,3,2,cluster3
247,5,1,2,2,cluster4
248,5,1,1,2,cluster4
249,5,1,3,2,cluster4
250,5,1,2,2,cluster4
251,5,1,1,2,cluster4
252,5,1,1,2,cluster4
253,5,1,3,2,cluster4
254,5,4,3,2,cluster3
255,5,4,2,2,cluster3
256,5,4,2,2,cluster3
257,5,1,2,2,cluster4
258,5,2,3,2,cluster3
259,5,1,3,2,cluster4
260,5,6,1,2,cluster5
261,5,1,4,2,cluster0
262,5,1,6,2,cluster0
263,6,4,7,2,cluster0
264,6,1,7,2,cluster0
265,6,2,2,2,cluster3
266,6,5,2,2,cluster3
267,6,1,3,2,cluster3
268,6,1,3,2,cluster3
269,6,1,1,2,cluster3
270,6,1,7,2,cluster0
271,6,5,3,2,cluster3
272,6,2,3,2,cluster3
273,6,2,5,2,cluster0
274,6,2,5,2,cluster0
275,6,2,5,2,cluster0
276,6,5,3,2,cluster3
