id,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual
7108,2,1,36,2,2,0,1
5822,1,1,46,6,1,1,2
3613,1,1,79,1,1,0,3
10530,6,1,30,6,6,2,1
10817,6,2,38,6,6,4,1
5068,1,1,42,1,1,4,1
5949,1,1,58,1,1,4,1
10,1,1,36,1,1,6,1
7613,3,1,18,1,1,0,3
5732,1,1,32,1,1,4,1
7015,2,1,52,2,1,0,1
648,1,1,58,1,1,4,3
3522,1,1,53,1,1,6,1
4454,1,1,34,1,1,0,1
5456,1,1,36,1,1,6,1
5938,1,1,59,1,1,4,1
3553,1,1,52,1,1,2,1
3252,1,1,21,1,1,1,1
1695,1,1,27,1,1,4,1
6166,1,2,59,1,1,0,1
3009,1,1,34,1,1,0,1
7321,2,2,26,2,2,0,1
957,1,1,47,5,1,0,1
3244,1,1,29,5,1,3,3
4836,1,1,38,1,1,3,1
5121,1,1,16,1,1,0,3
8060,3,2,48,4,3,3,1
5862,1,1,78,1,1,2,3
6844,2,1,23,2,2,3,2
797,1,1,37,1,1,4,1
3640,1,1,56,1,1,2,1
6304,1,2,40,4,7,6,1
2941,1,1,50,1,1,4,1
10644,6,1,62,4,6,1,3
5661,1,1,39,2,1,3,1
4950,1,1,37,4,1,2,1
2842,1,1,49,1,1,6,1
655,1,1,52,1,1,3,1
5223,1,1,40,1,1,3,1
2150,1,1,21,1,1,1,3
4590,1,1,53,1,1,1,1
4468,1,1,40,1,1,4,1
5715,1,1,31,1,1,2,1
2386,1,1,63,1,1,1,3
5031,1,1,60,2,1,4,3
1529,1,1,34,1,1,4,1
11095,6,2,50,1,6,6,1
5635,1,1,57,1,2,3,3
3433,1,1,39,1,1,4,1
1633,1,1,22,1,1,0,3
4925,1,1,19,1,1,1,3
1683,1,1,76,1,1,4,3
5060,1,1,22,1,1,0,3
9488,5,1,21,5,5,0,1
1414,1,1,44,1,1,0,1
4923,1,1,49,1,1,0,1
1456,1,1,30,4,4,4,1
5105,1,1,39,1,1,3,1
669,1,1,39,4,1,4,1
4557,1,1,33,1,1,4,1
2963,1,1,58,1,1,4,1
4712,1,1,41,1,1,4,1
2676,1,1,45,2,1,6,1
5549,1,1,72,1,1,4,3
7850,3,1,46,3,3,3,1
167,1,1,82,1,1,5,3
2426,1,1,26,5,1,1,1
2126,1,1,58,1,1,4,1
11131,6,2,43,1,6,0,1
2334,1,1,52,2,1,4,3
6080,1,1,84,1,7,4,3
224,1,1,64,1,1,5,1
4962,1,1,19,5,1,0,3
1530,1,1,57,9,1,6,1
2040,1,1,29,6,1,0,1
2248,1,1,28,1,1,1,1
1522,1,1,31,4,1,3,1
3942,1,1,66,2,1,1,3
7803,3,1,21,3,3,0,3
98,1,1,48,1,1,2,1
11143,6,2,30,6,6,4,1
5236,1,1,30,1,1,3,1
1835,1,1,38,2,1,4,1
10689,6,2,47,1,6,6,1
8462,4,1,21,1,4,0,3
2253,1,1,53,1,1,1,1
5235,1,1,34,1,1,4,1
4504,1,1,63,3,1,0,3
2820,1,1,44,4,1,0,1
6842,2,1,48,2,2,4,1
4991,1,1,20,1,1,0,3
5138,1,1,44,5,1,1,1
6034,1,1,50,1,1,4,1
5313,1,1,25,1,1,3,3
2808,1,1,47,1,1,4,1
2145,1,1,20,5,1,0,3
218,1,1,36,1,7,3,1
6727,1,2,42,1,1,3,3
6072,1,1,60,1,1,0,3
5373,1,1,39,1,1,3,3
3298,1,1,26,3,1,0,1
3491,1,1,66,1,1,3,3
3554,1,1,20,1,1,0,1
753,1,1,99,1,1,4,3
3527,1,1,42,1,1,6,1
160,1,1,30,1,1,4,1
5702,1,1,39,1,1,4,1
6064,1,1,29,1,1,4,1
4220,1,1,41,1,1,1,1
556,1,1,53,3,1,3,1
56,1,1,60,1,1,6,3
5357,1,1,35,1,1,4,1
6351,1,2,45,5,1,3,1
10711,6,2,57,1,6,3,1
2766,1,1,85,2,1,4,3
10502,6,1,65,1,6,2,3
5609,1,1,29,1,1,3,1
1604,1,1,62,1,1,4,1
6332,1,2,50,9,1,6,1
6840,2,1,35,3,2,3,1
10328,5,2,51,5,5,6,1
10016,5,2,31,1,5,4,1
3780,1,1,29,6,1,0,1
1750,1,1,20,1,1,1,1
1907,1,1,76,2,1,6,3
7332,2,2,32,2,2,4,1
7964,3,1,73,1,3,3,3
3473,1,1,57,1,1,4,3
4316,1,1,31,1,1,4,1
1839,1,1,49,1,1,3,1
629,1,1,47,1,1,2,1
1848,1,1,49,6,1,4,1
3927,1,1,35,2,1,3,1
4548,1,1,63,1,1,1,3
392,1,1,57,9,1,1,3
2807,1,1,38,1,1,0,1
10146,5,2,27,1,5,0,1
8967,4,2,38,3,3,0,1
1439,1,1,33,1,1,1,1
1307,1,1,25,1,1,3,1
5744,1,1,31,1,1,4,1
8589,4,1,29,3,3,3,1
2146,1,1,52,1,1,0,1
4272,1,1,55,5,1,1,3
7266,2,2,23,1,2,0,1
1010,1,1,36,1,1,0,1
10830,6,2,31,1,6,0,1
349,1,1,38,1,1,6,2
5009,1,1,54,1,1,3,1
2381,1,1,26,5,1,0,1
9322,5,1,59,5,5,3,3
6832,2,1,35,2,2,0,1
8520,4,1,16,5,4,0,3
2501,1,1,47,1,1,6,1
5675,1,1,32,1,1,2,1
8448,4,1,23,4,4,1,1
4072,1,1,57,5,1,2,1
827,1,1,39,1,1,0,1
3541,1,1,52,1,1,1,3
146,1,1,54,1,1,6,3
1062,1,1,17,1,1,0,3
1440,1,1,39,1,1,6,1
357,1,1,33,4,1,4,1
982,1,1,26,1,1,3,1
2149,1,1,27,1,1,3,1
5273,1,1,23,4,1,3,3
6838,2,1,32,2,2,3,1
5686,1,1,41,1,1,4,1
2547,1,1,33,1,1,0,2
1421,1,1,50,1,1,3,3
1416,1,1,50,3,1,4,1
5861,1,1,74,1,1,4,3
10809,6,2,46,1,6,3,1
5408,1,1,49,1,1,4,1
10929,6,2,45,3,6,0,1
2944,1,1,58,1,1,6,1
3190,1,1,19,1,1,0,3
7982,3,1,29,3,3,1,1
6820,2,1,29,9,2,3,1
8752,4,2,24,1,4,3,1
9531,5,1,67,1,5,2,3
9326,5,1,59,1,5,3,1
980,1,1,53,2,1,1,1
8506,4,1,21,4,4,1,3
6945,2,1,66,3,2,4,1
1918,1,1,22,1,1,0,1
2347,1,1,52,1,1,3,1
6881,2,1,21,1,2,0,3
4483,1,1,24,1,1,3,1
878,1,1,49,2,1,0,2
3288,1,1,59,1,1,3,1
1682,1,1,28,1,1,1,3
4623,1,1,64,1,1,4,1
2481,1,1,49,5,1,4,1
5753,1,1,32,1,1,4,1
272,1,1,44,1,1,4,1
4384,1,1,72,1,1,4,3
7577,3,1,19,1,3,0,3
1034,1,1,35,1,1,4,1
4082,1,1,27,1,1,6,1
350,1,1,30,1,1,4,1
2745,1,1,56,1,1,0,3
8417,4,1,33,1,4,0,1
3431,1,1,35,1,1,6,2
5081,1,1,39,1,1,4,1
2838,1,1,35,1,1,4,1
6012,1,1,57,1,1,4,1
5867,1,1,38,1,1,4,1
2230,1,1,43,2,1,4,1
6495,1,2,29,1,1,4,3
478,1,1,52,1,1,4,1
2590,1,1,50,1,1,4,1
10587,6,1,32,6,6,4,1
8505,4,1,42,4,4,4,1
2560,1,1,42,1,1,4,1
2826,1,1,59,2,1,4,1
8501,4,1,39,4,4,4,1
2835,1,1,56,6,1,4,3
2142,1,1,54,5,1,4,1
6102,1,2,15,1,1,0,3
2896,1,1,55,1,1,6,1
4631,1,1,44,3,1,0,1
2691,1,1,73,1,1,3,3
3236,1,1,36,4,1,0,1
1402,1,1,44,1,1,4,1
5222,1,1,24,1,1,4,1
359,1,1,38,1,1,3,1
2515,1,1,37,1,1,6,1
5912,1,1,44,1,1,4,3
7047,2,1,95,3,2,9,3
709,1,1,34,1,1,0,1
7934,3,1,26,1,1,0,1
5754,1,1,27,1,1,4,1
10410,5,2,17,1,5,0,3
5810,1,1,39,3,1,3,1
4132,1,1,43,1,1,0,1
1007,1,1,35,1,1,6,1
675,1,1,49,1,1,4,3
2393,1,1,86,1,1,3,1
6893,2,1,23,1,2,3,1
1711,1,1,35,1,1,4,1
4449,1,1,41,1,1,4,1
1893,1,1,50,1,1,1,1
4571,1,1,33,4,1,4,1
5870,1,1,57,1,1,4,3
2167,1,1,65,3,1,0,3
2947,1,1,70,1,1,4,1
75,1,1,52,1,1,4,1
10605,6,1,42,1,6,6,1
5417,1,1,44,1,1,0,3
5890,1,1,48,2,1,3,1
216,1,1,68,3,1,4,1
2354,1,1,53,1,1,4,1
10475,6,1,38,1,6,4,3
5681,1,1,31,5,1,1,1
2280,1,1,48,4,1,0,1
6029,1,1,62,1,1,3,1
9450,5,1,32,2,5,0,1
2790,1,1,62,1,1,6,1
1836,1,1,35,2,1,6,2
3432,1,1,45,1,1,4,1
2951,1,1,32,1,1,4,1
10763,6,2,18,1,6,0,3
6785,1,2,57,3,1,4,3
1406,1,1,36,1,1,3,1
5034,1,1,54,1,1,3,1
1054,1,1,28,1,1,0,3
622,1,1,66,1,1,6,3
726,1,1,23,1,1,3,1
2679,1,1,61,5,1,4,3
4514,1,1,20,1,1,0,3
7066,2,1,77,3,2,3,3
4813,1,1,27,1,1,0,1
2604,1,1,74,1,1,4,3
8370,4,1,60,2,4,1,1
2116,1,1,46,1,1,4,1
8652,4,1,54,2,4,4,1
7800,3,1,60,1,3,4,3
2551,1,1,49,1,1,2,3
8459,4,1,23,4,4,0,2
5466,1,1,36,1,1,5,1
6383,1,2,15,4,1,0,3
5056,1,1,49,1,1,6,1
5487,1,1,60,1,1,4,1
2954,1,1,60,1,1,6,1
2791,1,1,26,9,1,0,3
63,1,1,33,2,1,0,3
6971,2,1,56,2,2,4,1
1377,1,1,28,3,1,0,1
5115,1,1,26,1,1,4,1
7208,2,1,80,2,2,2,3
5993,1,1,28,1,1,4,1
625,1,1,52,1,1,4,1
