@relation less_attributes_clustered

@attribute Instance_number numeric
@attribute instruccion {0,1,2,3,4,5,6,7,8,9,99}
@attribute trabajo {1,2,9}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,7,1,cluster2
1,6,1,cluster2
2,3,1,cluster0
3,4,1,cluster0
4,2,1,cluster3
5,2,1,cluster3
6,3,1,cluster0
7,7,1,cluster2
8,7,1,cluster2
9,4,1,cluster0
10,2,1,cluster3
11,4,1,cluster0
12,8,1,cluster2
13,2,1,cluster3
14,4,1,cluster0
15,1,1,cluster5
16,4,1,cluster0
17,4,1,cluster0
18,3,1,cluster0
19,3,1,cluster0
20,3,1,cluster0
21,7,1,cluster2
22,2,1,cluster3
23,4,1,cluster0
24,1,1,cluster5
25,2,1,cluster3
26,2,1,cluster3
27,7,1,cluster2
28,2,1,cluster3
29,2,1,cluster3
30,6,1,cluster2
31,1,1,cluster5
32,8,1,cluster2
33,3,1,cluster0
34,4,1,cluster0
35,7,1,cluster2
36,7,1,cluster2
37,2,1,cluster3
38,2,1,cluster3
39,3,1,cluster0
40,3,1,cluster0
41,2,1,cluster3
42,3,1,cluster0
43,4,1,cluster0
44,0,1,cluster5
45,7,1,cluster2
46,2,1,cluster3
47,3,1,cluster0
48,7,1,cluster2
49,3,1,cluster0
50,2,1,cluster3
51,0,1,cluster5
52,4,1,cluster0
53,7,1,cluster2
54,4,1,cluster0
55,2,1,cluster3
56,1,1,cluster5
57,2,1,cluster3
58,7,1,cluster2
59,7,1,cluster2
60,2,1,cluster3
61,2,1,cluster3
62,4,1,cluster0
63,3,1,cluster0
64,2,1,cluster3
65,7,1,cluster2
66,2,1,cluster3
67,2,1,cluster3
68,4,1,cluster0
69,1,1,cluster5
70,2,1,cluster3
71,7,1,cluster2
72,3,1,cluster0
73,2,1,cluster3
74,2,1,cluster3
75,2,1,cluster3
76,2,1,cluster3
77,1,1,cluster5
78,6,1,cluster2
79,4,1,cluster0
80,7,1,cluster2
81,3,1,cluster0
82,3,1,cluster0
83,2,1,cluster3
84,2,1,cluster3
85,3,1,cluster0
86,6,1,cluster2
87,2,1,cluster3
88,2,1,cluster3
89,2,1,cluster3
90,1,1,cluster5
91,2,1,cluster3
92,2,1,cluster3
93,1,1,cluster5
94,1,1,cluster5
95,1,1,cluster5
96,3,1,cluster0
97,7,1,cluster2
98,1,1,cluster5
99,2,1,cluster3
100,3,1,cluster0
101,7,1,cluster2
102,3,1,cluster0
103,2,1,cluster3
104,4,1,cluster0
105,4,1,cluster0
106,2,1,cluster3
107,2,1,cluster3
108,7,1,cluster2
109,7,1,cluster2
110,7,1,cluster2
111,2,1,cluster3
112,2,1,cluster3
113,6,1,cluster2
114,2,1,cluster3
115,2,1,cluster3
116,2,1,cluster3
117,1,1,cluster5
118,1,1,cluster5
119,2,1,cluster3
120,7,1,cluster2
121,1,1,cluster5
122,5,1,cluster2
123,1,1,cluster5
124,4,1,cluster0
125,4,2,cluster4
126,4,2,cluster4
127,4,2,cluster4
128,1,2,cluster5
129,1,2,cluster5
130,2,2,cluster1
131,1,2,cluster5
132,1,2,cluster5
133,3,2,cluster4
134,3,2,cluster4
135,2,2,cluster1
136,3,2,cluster4
137,7,2,cluster2
138,6,2,cluster2
139,1,2,cluster5
140,3,2,cluster4
141,7,2,cluster2
142,4,2,cluster4
143,6,2,cluster2
144,3,2,cluster4
145,1,2,cluster5
146,2,2,cluster1
147,3,2,cluster4
148,4,2,cluster4
149,3,2,cluster4
150,7,2,cluster2
151,2,2,cluster1
152,4,2,cluster4
153,2,2,cluster1
154,1,2,cluster5
155,7,2,cluster2
156,4,2,cluster4
157,7,2,cluster2
158,2,2,cluster1
159,2,2,cluster1
160,3,2,cluster4
161,3,2,cluster4
162,2,2,cluster1
163,2,2,cluster1
164,3,2,cluster4
165,1,2,cluster5
166,4,2,cluster4
167,7,2,cluster2
168,7,2,cluster2
169,4,2,cluster4
170,4,2,cluster4
171,1,2,cluster5
172,2,2,cluster1
173,2,2,cluster1
174,7,2,cluster2
175,6,2,cluster2
176,7,2,cluster2
177,3,2,cluster4
178,0,2,cluster5
179,2,2,cluster1
180,1,2,cluster5
181,1,2,cluster5
182,4,2,cluster4
183,1,2,cluster5
184,5,2,cluster2
185,3,2,cluster4
186,3,2,cluster4
187,3,2,cluster4
188,2,2,cluster1
189,3,2,cluster4
190,3,2,cluster4
191,3,2,cluster4
192,2,2,cluster1
193,4,2,cluster4
194,3,2,cluster4
195,3,2,cluster4
196,7,2,cluster2
197,4,2,cluster4
198,5,2,cluster2
199,2,2,cluster1
200,1,2,cluster5
201,3,2,cluster4
202,4,2,cluster4
203,5,2,cluster2
204,4,2,cluster4
205,1,2,cluster5
206,1,2,cluster5
207,8,2,cluster2
208,4,2,cluster4
209,2,2,cluster1
210,3,2,cluster4
211,2,2,cluster1
212,2,2,cluster1
213,4,2,cluster4
214,3,2,cluster4
215,0,2,cluster5
216,7,2,cluster2
217,2,2,cluster1
218,1,2,cluster5
219,3,2,cluster4
220,2,2,cluster1
221,1,2,cluster5
222,2,2,cluster1
223,3,2,cluster4
224,3,2,cluster4
225,7,2,cluster2
226,3,2,cluster4
227,4,2,cluster4
228,2,2,cluster1
229,3,2,cluster4
230,2,2,cluster1
231,3,2,cluster4
232,3,2,cluster4
233,4,2,cluster4
234,3,2,cluster4
235,2,2,cluster1
236,1,2,cluster5
237,3,2,cluster4
238,2,2,cluster1
239,1,2,cluster5
240,2,2,cluster1
241,1,2,cluster5
242,1,2,cluster5
243,1,2,cluster5
244,1,2,cluster5
245,2,2,cluster1
246,3,2,cluster4
247,2,2,cluster1
248,1,2,cluster5
249,3,2,cluster4
250,2,2,cluster1
251,1,2,cluster5
252,1,2,cluster5
253,3,2,cluster4
254,3,2,cluster4
255,2,2,cluster1
256,2,2,cluster1
257,2,2,cluster1
258,3,2,cluster4
259,3,2,cluster4
260,1,2,cluster5
261,4,2,cluster4
262,6,2,cluster2
263,7,2,cluster2
264,7,2,cluster2
265,2,2,cluster1
266,2,2,cluster1
267,3,2,cluster4
268,3,2,cluster4
269,1,2,cluster5
270,7,2,cluster2
271,3,2,cluster4
272,3,2,cluster4
273,5,2,cluster2
274,5,2,cluster2
275,5,2,cluster2
276,3,2,cluster4
