,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
47,1,1,47,1,1,3,2,0,1
1499,1,1,46,1,1,0,1,2301374.83333333,3
6694,4,2,61,4,4,2,3,1240833.33333333,3
9389,1,1,24,1,1,2,1,1175917.16666667,3
4610,3,1,25,3,3,1,2,1170329.38250792,3
9110,1,1,69,1,1,1,3,640332.382213614,3
2404,1,2,47,1,1,6,1,7680573.33333333,3
8343,6,1,49,1,6,3,1,1264713.45,3
665,1,1,31,1,1,4,1,1963203.66666667,3
5308,3,2,30,1,7,0,1,413400,3
81,1,1,64,1,1,4,1,6262598.33333333,3
5027,3,2,47,2,3,4,1,1419373.95007488,3
10292,1,2,35,2,1,4,1,6018835.33333333,3
5833,4,1,56,4,4,4,1,1300000,3
2048,1,1,19,1,1,0,3,3228490.33333333,3
2583,1,2,19,1,1,0,1,751220.805206848,3
10133,1,1,20,1,1,0,3,7175169.33333333,3
10488,2,1,30,5,2,6,1,1300000,3
9883,1,1,71,1,1,4,1,1485228.33333333,3
1140,1,1,34,1,1,5,1,2464418.66666667,3
9628,1,1,39,1,3,3,1,773474,3
1349,1,1,35,1,1,4,1,975696.366666667,3
642,1,1,40,1,1,3,1,1559965.33333333,3
9406,1,1,28,1,1,4,1,1848383.33333333,3
10002,1,1,34,1,1,4,1,2110233.34166667,3
168,1,1,38,3,1,0,1,3325093.63333333,3
3090,1,2,38,1,1,4,1,1364787.66666667,3
9532,1,1,48,1,1,4,1,2909989.33333333,3
4150,2,1,33,3,2,3,1,1677225.33333333,3
7878,5,2,37,1,5,4,1,2135466.66666667,3
172,1,1,22,1,1,0,1,1660903.73062102,3
1958,1,1,34,1,1,3,1,1162712.63333333,3
2194,1,1,44,1,1,3,1,963053,3
10018,1,1,64,1,1,2,3,3195833.33333333,3
11487,6,2,35,6,6,0,3,429000,3
9165,1,1,33,1,1,0,1,809874,3
10580,2,2,40,1,2,1,1,2460633.33333333,3
387,1,1,50,6,1,4,1,3275436.45509464,3
5560,3,2,22,1,3,0,1,1079881.50409574,3
10087,1,1,24,3,1,4,1,2975451.14103664,3
6908,4,1,53,2,4,6,1,2839200,3
2872,1,2,27,3,1,3,1,1361597.9,3
4956,3,1,44,1,3,0,1,727806.547619048,3
