id,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual
3637,1,1,61,3,1,3,3
2718,1,1,35,1,1,3,1
9223,5,1,25,1,5,2,1
886,1,1,22,1,1,3,2
1072,1,1,40,1,1,4,1
2840,1,1,45,9,1,6,1
7830,3,1,20,3,3,0,3
1970,1,1,24,1,1,1,1
2819,1,1,21,4,1,0,2
379,1,1,66,3,1,4,3
2785,1,1,55,5,1,0,1
5914,1,1,55,1,1,1,1
3813,1,1,38,1,1,0,1
4480,1,1,19,1,1,1,3
3866,1,1,35,1,1,6,3
6252,1,2,27,1,1,4,1
8046,3,2,50,1,3,6,1
4965,1,1,50,1,1,4,1
3097,1,1,44,1,1,3,1
9344,5,1,38,1,5,3,1
1768,1,1,28,1,1,4,3
1405,1,1,56,1,1,3,3
9211,5,1,67,1,5,0,1
5083,1,1,49,1,1,0,3
5706,1,1,49,1,1,1,3
5768,1,1,42,1,1,4,1
833,1,1,26,1,1,0,1
3007,1,1,48,1,1,4,1
6708,2,1,24,1,2,3,3
5069,1,1,36,1,1,3,1
5347,1,1,28,1,1,4,2
5707,1,1,44,1,1,3,1
5891,1,1,46,1,1,4,1
5159,1,1,60,5,1,4,1
1469,1,1,30,1,1,4,1
358,1,1,31,6,1,3,1
4028,1,1,40,4,1,3,1
488,1,1,21,3,1,0,1
614,1,1,40,3,1,4,1
10610,6,2,34,6,6,4,1
518,1,1,30,1,1,2,1
2409,1,1,55,1,1,0,1
2675,1,1,63,9,1,6,1
4815,1,1,29,1,1,0,1
8295,4,1,35,4,4,6,1
2122,1,1,34,1,1,4,1
7897,3,2,39,1,3,0,1
1611,1,1,64,3,1,1,3
6898,2,1,59,2,2,4,1
4428,1,1,25,1,1,3,1
3569,1,1,48,1,1,1,1
2838,1,1,22,1,1,0,3
2481,1,1,20,1,1,0,3
740,1,1,61,1,1,4,1
1731,1,1,72,1,1,3,3
5922,1,1,62,1,1,3,1
5209,1,1,22,3,1,0,1
6640,2,1,16,6,2,0,3
8211,4,1,42,4,4,4,1
4415,1,1,55,1,1,4,1
6588,1,2,75,1,1,4,3
7949,3,2,26,3,3,0,1
4038,1,1,68,1,1,3,3
1499,1,1,68,1,1,1,3
3209,1,1,81,3,1,3,3
6043,1,2,52,1,1,4,1
5308,1,1,52,1,1,0,1
9355,5,1,55,5,5,4,1
8293,4,1,43,4,4,4,1
7183,2,2,30,5,2,0,1
9166,5,1,29,4,5,2,1
5239,1,1,60,6,1,3,1
1328,1,1,24,1,1,3,1
7583,3,1,35,3,3,4,1
6860,2,1,53,2,2,3,1
72,1,1,76,2,1,6,3
7602,3,1,23,3,3,3,1
709,1,1,61,1,1,3,1
9789,5,2,38,2,5,3,1
2928,1,1,28,1,1,0,1
2949,1,1,60,1,1,4,1
5062,1,1,32,6,1,3,1
5137,1,1,27,1,1,0,1
1461,1,1,24,1,1,0,1
5074,1,1,39,1,1,6,1
5621,1,1,52,1,1,3,3
3278,1,1,22,1,1,0,3
1744,1,1,24,1,1,1,1
5026,1,1,40,1,1,4,1
4400,1,1,29,1,1,2,1
2551,1,1,71,1,1,0,3
5213,1,1,62,1,1,6,3
5200,1,1,36,1,1,3,1
4029,1,1,36,1,1,4,1
3035,1,1,65,2,1,1,1
4196,1,1,26,1,1,3,1
634,1,1,39,1,1,6,1
2547,1,1,34,6,1,3,1
5588,1,1,38,1,1,4,1
10412,6,2,29,1,6,0,1
2948,1,1,65,1,1,4,3
3949,1,1,18,1,1,0,3
400,1,1,65,1,1,0,1
921,1,1,46,1,1,3,1
6590,1,2,38,1,1,4,1
5394,1,1,53,2,1,0,1
8850,4,2,15,1,4,0,3
5930,1,1,46,1,1,4,2
96,1,1,46,1,1,0,1
4284,1,1,44,1,1,4,1
4777,1,1,56,1,1,6,1
2207,1,1,26,1,1,0,1
4964,1,1,76,2,1,0,3
649,1,1,19,1,1,0,3
644,1,1,49,1,1,6,1
5927,1,1,49,5,1,3,2
6230,1,2,45,1,1,0,1
4246,1,1,39,1,1,6,1
2543,1,1,50,1,1,4,1
3332,1,1,38,6,1,3,1
3948,1,1,44,1,1,4,1
2795,1,1,28,1,1,3,1
8194,4,1,46,1,4,1,1
363,1,1,52,6,1,4,1
2776,1,1,40,1,1,3,1
5681,1,1,36,1,1,4,1
6019,1,2,31,1,1,3,3
2539,1,1,72,1,1,4,3
2769,1,1,63,1,1,4,3
1360,1,1,28,4,1,3,2
2463,1,1,37,1,1,6,1
708,1,1,36,1,1,3,1
1827,1,1,34,1,1,3,1
6964,2,1,27,4,2,4,1
2909,1,1,48,1,1,3,1
4364,1,1,49,1,1,3,2
5251,1,1,60,1,1,6,3
10834,6,2,51,1,1,0,2
7366,2,2,30,4,1,4,1
10083,5,2,26,1,5,0,1
6737,2,1,36,1,2,0,1
6811,2,1,54,1,2,0,1
2092,1,1,22,1,1,1,3
4275,1,1,36,1,1,6,1
9824,5,2,37,5,5,0,1
8188,4,1,67,2,4,4,3
5698,1,1,25,3,1,3,3
3795,1,1,25,2,1,0,3
267,1,1,18,1,1,0,3
173,1,1,53,1,1,2,1
6670,2,1,32,2,2,4,1
7901,3,2,20,1,3,1,3
4083,1,1,42,1,1,0,1
10207,6,1,36,1,6,6,1
2818,1,1,26,6,1,4,1
2312,1,1,39,1,1,3,1
6664,2,1,57,1,2,4,1
8171,4,1,33,4,4,6,1
4862,1,1,63,3,1,4,3
2775,1,1,61,4,1,6,1
6523,1,2,15,1,1,0,3
655,1,1,60,1,1,6,1
1309,1,1,55,1,1,4,1
6562,1,2,31,1,1,1,3
3015,1,1,23,1,1,3,1
7083,2,2,39,1,2,4,1
2715,1,1,70,1,1,4,3
1556,1,1,54,1,1,6,1
5840,1,1,43,1,1,4,1
8455,4,1,54,2,4,0,3
1028,1,1,29,1,1,0,1
2550,1,1,47,4,1,4,3
4917,1,1,51,1,1,3,1
2244,1,1,51,3,1,0,1
2645,1,1,25,1,1,3,3
1813,1,1,19,1,1,0,1
2241,1,1,32,1,1,3,3
2650,1,1,34,1,1,1,3
4067,1,1,63,1,1,0,1
1769,1,1,26,1,1,3,1
6981,2,1,31,2,2,4,1
5725,1,1,25,4,4,1,1
2683,1,1,36,1,1,4,1
3167,1,1,51,3,1,0,1
1112,1,1,80,1,1,3,3
4948,1,1,48,6,1,1,1
2922,1,1,63,1,1,4,3
408,1,1,22,1,1,0,1
2672,1,1,39,1,1,6,1
1969,1,1,28,1,1,0,1
2296,1,1,46,1,1,4,1
2327,1,1,57,4,1,4,1
2588,1,1,30,5,1,3,1
5884,1,1,21,4,1,0,1
2013,1,1,27,1,1,4,1
1427,1,1,30,1,1,0,1
1767,1,1,31,1,1,4,1
3524,1,1,69,1,1,4,3
5873,1,1,23,1,1,0,3
2752,1,1,50,2,1,4,1
5051,1,1,72,1,1,0,3
5829,1,1,41,1,1,6,1
3655,1,1,34,1,1,4,1
1451,1,1,41,4,1,0,1
5227,1,1,61,9,1,4,1
3133,1,1,55,2,1,4,1
2556,1,1,36,1,1,6,1
5057,1,1,59,1,1,1,1
2475,1,1,47,3,1,6,1
2764,1,1,65,1,1,3,3
8302,4,1,64,1,4,0,3
5769,1,1,45,6,1,3,1
1467,1,1,35,1,1,4,1
9177,5,1,22,4,5,0,1
2853,1,1,33,6,1,4,1
3422,1,1,34,1,1,0,1
872,1,1,65,1,1,4,3
5035,1,1,23,4,1,3,3
3913,1,1,53,1,1,3,1
4103,1,1,36,1,1,4,1
9442,5,1,42,2,5,2,1
5594,1,1,26,1,1,4,1
2854,1,1,22,5,5,1,3
3611,1,1,32,4,1,4,1
6110,1,2,57,3,1,1,1
2829,1,1,73,1,1,4,3
5168,1,1,42,1,1,4,1
5435,1,1,73,1,1,4,3
4810,1,1,35,1,1,2,1
9093,5,1,54,2,5,1,3
2684,1,1,17,1,1,0,3
9162,5,1,45,1,5,3,1
8164,4,1,31,3,4,1,1
8269,4,1,35,4,4,6,1
7158,2,2,31,5,2,0,1
322,1,1,28,1,1,0,1
4394,1,1,38,1,1,6,1
412,1,1,49,2,1,1,1
2665,1,1,50,1,1,4,1
2697,1,1,22,3,1,0,1
5013,1,1,37,1,1,3,1
5611,1,1,22,1,1,3,1
7046,2,1,63,1,2,3,3
2567,1,1,52,1,1,0,1
8159,4,1,19,4,4,1,1
5791,1,1,60,1,1,4,1
5111,1,1,36,4,1,3,1
1763,1,1,35,1,1,3,1
3389,1,1,20,6,6,1,3
4447,1,1,40,1,1,6,3
2738,1,1,27,4,1,6,1
28,1,1,43,1,1,4,1
3038,1,1,58,1,1,4,1
5575,1,1,28,1,1,0,3
10375,6,2,63,5,6,3,3
3013,1,1,30,1,1,4,2
4437,1,1,42,1,1,3,1
5304,1,1,17,1,1,0,3
4653,1,1,52,1,1,4,1
9914,5,2,30,4,5,2,3
6766,2,1,48,1,2,0,1
4924,1,1,44,1,1,4,1
5777,1,1,27,1,1,0,1
5357,1,1,57,1,1,0,1
5736,1,1,77,1,1,3,3
6023,1,2,45,1,1,4,1
2400,1,1,58,1,1,0,1
6082,1,2,20,1,1,0,1
95,1,1,43,1,1,3,1
2888,1,1,92,1,1,0,3
3417,1,1,38,1,1,4,1
2334,1,1,61,1,1,3,1
5160,1,1,58,2,1,4,3
5263,1,1,46,1,1,4,1
7417,3,1,44,1,3,4,1
7979,3,2,17,1,3,0,3
5403,1,1,71,1,1,2,1
4272,1,1,41,5,1,4,1
2595,1,1,25,1,1,3,1
9852,5,2,20,4,5,0,1
7987,3,2,25,4,3,0,1
1783,1,1,42,1,1,3,1
1804,1,1,52,1,1,6,1
943,1,1,40,1,1,0,1
2268,1,1,69,1,1,4,1
4664,1,1,22,1,1,0,3
3011,1,1,53,1,1,6,1
4566,1,1,47,1,1,4,1
3096,1,1,57,1,7,5,1
5549,1,1,27,9,1,4,1
2798,1,1,28,1,1,0,1
9208,5,1,53,3,5,0,1
2929,1,1,59,1,1,3,1
10405,6,2,36,6,6,3,1
3618,1,1,76,2,1,3,3
